pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
1.485527000000000042e+00,1.449630699999999939e+00,8.988324599999999998e-02,8.017183999999999422e-02,0.000000000000000000e+00,2.347683219687017250e-02,1.459073336059569029e-02
7.455367999999999995e-01,8.422986000000000084e-01,3.970907300000000029e-01,4.104789200000000249e-01,0.000000000000000000e+00,5.155621010120895603e-02,4.658925412581747111e-02
7.645134999999999570e-01,7.566300599999999932e-01,7.136404000000000358e-02,4.810791999999999846e-02,0.000000000000000000e+00,1.630583637842597869e-02,2.064841543557277559e-02
6.669255499999999781e-01,6.620013000000000147e-01,9.528825400000000279e-02,8.902179400000000131e-02,0.000000000000000000e+00,1.627761131124588409e-02,2.208313904317047230e-02
1.300481699999999963e+00,1.305740700000000087e+00,1.707138099999999936e-01,1.835730399999999929e-01,0.000000000000000000e+00,3.594230793925175943e-02,2.815202958935643027e-02
1.166003499999999971e+00,1.091985599999999890e+00,2.887473400000000190e-01,2.623129000000000155e-01,0.000000000000000000e+00,6.524854787656197974e-02,5.271676867942495792e-02
8.452889999999999571e-01,8.570037999999999823e-01,2.635396400000000194e-01,2.440750899999999945e-01,0.000000000000000000e+00,3.370840399662967946e-02,3.781919221770872058e-02
3.707818399999999737e-01,3.707978000000000107e-01,7.773632599999999448e-02,7.559714500000000448e-02,0.000000000000000000e+00,1.310514746197081158e-02,4.043850887458635968e-02
1.525298399999999999e-01,1.442940000000000056e-01,2.466274200000000139e-01,4.734649000000000219e-01,0.000000000000000000e+00,1.176920218196628697e-02,1.377364875405206468e-01
1.227605899999999917e+00,1.202824200000000010e+00,3.142874500000000237e-01,2.568322699999999736e-01,0.000000000000000000e+00,6.561822155468707840e-02,4.533447915218614260e-02
5.447957500000000231e-01,5.318262999999999741e-01,2.362424999999999942e-01,2.239841399999999982e-01,0.000000000000000000e+00,2.237237962309776562e-02,3.510030484198107398e-02
2.401173100000000005e-01,2.468869099999999872e-01,4.021069999999999922e-01,4.777111399999999786e-01,0.000000000000000000e+00,1.524958196148340321e-02,7.426717107847854993e-02
1.461619100000000060e+00,1.447353399999999901e+00,2.868078600000000256e-01,2.585215299999999994e-01,0.000000000000000000e+00,8.063399035146406879e-02,4.948199470514502013e-02
2.760640999999999790e-01,2.989365999999999968e-01,3.318808999999999787e-01,3.299941000000000124e-01,0.000000000000000000e+00,1.627335091491607932e-02,6.512688231444831166e-02
2.995873000000000008e-01,3.178360499999999811e-01,3.217586599999999741e-01,3.688748499999999764e-01,0.000000000000000000e+00,1.799552166512546555e-02,5.472089820169255547e-02
3.837115999999999860e-01,3.918998799999999783e-01,3.527826399999999807e-01,3.822000600000000081e-01,0.000000000000000000e+00,2.284101464471313681e-02,4.742026149231992616e-02
9.020424999999999693e-01,8.849447400000000075e-01,2.851163400000000236e-01,3.134187500000000237e-01,0.000000000000000000e+00,4.269791329795871726e-02,4.206318818159174994e-02
1.798095199999999894e+00,1.782011500000000082e+00,1.548689900000000119e-01,1.393573700000000082e-01,0.000000000000000000e+00,4.761729517727775890e-02,3.055497929961661918e-02
1.559872200000000042e+00,1.564328399999999952e+00,3.578227500000000227e-01,3.143622999999999834e-01,0.000000000000000000e+00,1.266890484611830903e-01,5.908834572062413026e-02
1.813394799999999973e+00,1.775948800000000105e+00,3.385561400000000054e-01,2.964251999999999998e-01,0.000000000000000000e+00,1.060889909462805619e-01,5.322445208736300420e-02
2.948221599999999998e-01,2.826931999999999778e-01,1.401530500000000012e-01,8.627619999999999734e-02,0.000000000000000000e+00,1.451348993178415425e-02,6.761130822576945365e-02
1.051115400000000033e+00,1.061606999999999967e+00,7.143687999999999427e-02,6.655086600000000019e-02,0.000000000000000000e+00,1.703255030815996329e-02,1.398636729104451790e-02
1.621385999999999994e+00,1.627387899999999998e+00,1.905499999999999972e-01,2.187788300000000075e-01,0.000000000000000000e+00,5.138885579578514329e-02,3.239112995867850231e-02
8.970232000000000205e-01,9.052344599999999630e-01,7.482743999999999507e-02,8.070148000000000599e-02,0.000000000000000000e+00,1.997055983191257586e-02,2.132767052446187667e-02
1.483096399999999981e+00,1.352305400000000102e+00,3.154227399999999792e-01,2.919699499999999781e-01,0.000000000000000000e+00,9.003613718946409938e-02,5.175896057688948726e-02
8.297143000000000157e-01,8.343629999999999658e-01,6.540160000000000418e-02,6.727895000000000403e-02,0.000000000000000000e+00,1.677669603944709903e-02,1.772430929542813047e-02
1.425688099999999903e+00,1.389743399999999962e+00,4.072758599999999896e-01,4.154161800000000238e-01,0.000000000000000000e+00,1.287332124977854930e-01,5.593359634423662047e-02
8.521405499999999966e-01,8.929548999999999959e-01,2.581245300000000187e-01,2.756334500000000021e-01,0.000000000000000000e+00,3.420828116114576350e-02,3.562500526315750399e-02
1.072188700000000106e+00,1.047818899999999998e+00,2.143766000000000005e-01,1.920897000000000021e-01,0.000000000000000000e+00,3.687769786741032507e-02,3.431031331830124848e-02
3.639636299999999824e-01,3.611384599999999945e-01,2.193297600000000125e-01,2.185898400000000075e-01,0.000000000000000000e+00,1.871401132841379877e-02,5.105209594130294404e-02
1.485611900000000096e+00,1.457410600000000001e+00,3.440327000000000246e-01,3.780164699999999933e-01,0.000000000000000000e+00,1.043505294667928379e-01,5.360399985075740836e-02
1.527022799999999902e+00,1.369497200000000081e+00,3.988052999999999737e-01,4.320237000000000105e-01,0.000000000000000000e+00,1.449213579842529576e-01,4.946034472180718677e-02
6.839903600000000194e-01,6.779732000000000536e-01,3.475770699999999880e-01,3.747666000000000053e-01,0.000000000000000000e+00,3.665464636304652246e-02,4.705531957175511371e-02
1.352017500000000094e+00,1.361150400000000094e+00,3.310095399999999910e-01,3.652988400000000135e-01,0.000000000000000000e+00,8.363352975930167521e-02,5.035967930795429148e-02
1.781125199999999964e+00,1.713278300000000032e+00,3.053706600000000160e-01,2.904487800000000175e-01,0.000000000000000000e+00,9.831785697420382386e-02,6.129950652329919231e-02
6.227911999999999892e-01,5.925962299999999461e-01,1.674267799999999973e-01,2.206042300000000123e-01,0.000000000000000000e+00,1.919264702952669724e-02,3.012658078840013340e-02
1.305178500000000019e+00,1.298513400000000040e+00,1.615741599999999945e-01,1.418527699999999891e-01,0.000000000000000000e+00,3.463912816454825516e-02,2.671554697175410747e-02
4.107332000000000205e-01,3.929445400000000088e-01,8.114906400000000686e-02,6.575883000000000422e-02,0.000000000000000000e+00,1.435357342267074530e-02,3.038359030792773044e-02
6.168204000000000464e-01,5.625873999999999597e-01,3.185435500000000086e-01,2.288823100000000055e-01,0.000000000000000000e+00,3.175964892753067176e-02,4.438567223778411980e-02
1.767468599999999945e+00,1.820797299999999952e+00,4.598494499999999929e-01,4.989795000000000202e-01,0.000000000000000000e+00,1.735200939372728568e-01,4.798063359314880955e-02
9.945631000000000332e-01,9.649219500000000282e-01,1.794723000000000013e-01,1.786173600000000028e-01,0.000000000000000000e+00,2.982896243586088958e-02,3.043058872253377733e-02
