pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
1.467557500000000070e+00,1.449630699999999939e+00,9.508632999999999669e-02,8.017183999999999422e-02,0.000000000000000000e+00,1.201396229393117521e+00,2.754083041594788117e-01
7.387825000000000086e-01,8.422986000000000084e-01,4.202982800000000241e-01,4.104789200000000249e-01,0.000000000000000000e+00,8.314756761325011736e-01,6.066361017941480638e-01
7.679719000000000406e-01,7.566300599999999932e-01,7.674070400000000680e-02,4.810791999999999846e-02,0.000000000000000000e+00,8.669174701204261924e-01,2.304498535473607224e-01
6.696607999999999450e-01,6.620013000000000147e-01,9.523480400000000623e-02,8.902179400000000131e-02,0.000000000000000000e+00,8.096131792405556471e-01,2.631381006239879028e-01
1.304127000000000036e+00,1.305740700000000087e+00,1.715921900000000055e-01,1.835730399999999929e-01,0.000000000000000000e+00,1.126256453921574696e+00,3.686171184304928850e-01
1.192939200000000088e+00,1.091985599999999890e+00,2.983085200000000214e-01,2.623129000000000155e-01,0.000000000000000000e+00,1.064298689278531329e+00,4.971592601973737757e-01
8.466283999999999477e-01,8.570037999999999823e-01,2.648795500000000191e-01,2.440750899999999945e-01,0.000000000000000000e+00,9.026290489453572263e-01,4.769502804276353203e-01
3.698085500000000136e-01,3.707978000000000107e-01,8.814940000000000275e-02,7.559714500000000448e-02,0.000000000000000000e+00,6.006019646987511562e-01,2.316905630361323076e-01
1.551408999999999982e-01,1.442940000000000056e-01,2.591833800000000188e-01,4.734649000000000219e-01,0.000000000000000000e+00,3.705833104714781889e-01,3.799912498992575327e-01
1.234342300000000003e+00,1.202824200000000010e+00,3.318589599999999806e-01,2.568322699999999736e-01,0.000000000000000000e+00,1.082634610568127043e+00,5.316785306931247623e-01
5.592622999999999900e-01,5.318262999999999741e-01,2.415360799999999863e-01,2.239841399999999982e-01,0.000000000000000000e+00,7.304139579717791042e-01,4.514234154316765224e-01
2.579365000000000130e-01,2.468869099999999872e-01,4.727592500000000197e-01,4.777111399999999786e-01,0.000000000000000000e+00,4.930563862277822507e-01,6.228070327155915686e-01
1.467406200000000105e+00,1.447353399999999901e+00,2.900431199999999876e-01,2.585215299999999994e-01,0.000000000000000000e+00,1.180837118319033818e+00,4.915533541742950763e-01
2.739312600000000097e-01,2.989365999999999968e-01,3.652482300000000071e-01,3.299941000000000124e-01,0.000000000000000000e+00,5.058949891034699720e-01,5.496257271998827854e-01
3.034359999999999835e-01,3.178360499999999811e-01,3.018618200000000029e-01,3.688748499999999764e-01,0.000000000000000000e+00,5.365327296633449761e-01,4.948936148305007054e-01
3.931001399999999868e-01,3.918998799999999783e-01,3.923808599999999980e-01,3.822000600000000081e-01,0.000000000000000000e+00,6.107800258685609496e-01,5.830081731845617732e-01
9.067475999999999869e-01,8.849447400000000075e-01,3.084223600000000065e-01,3.134187500000000237e-01,0.000000000000000000e+00,9.322790891144131509e-01,5.134444468489264279e-01
1.798376200000000091e+00,1.782011500000000082e+00,1.824335800000000118e-01,1.393573700000000082e-01,0.000000000000000000e+00,1.323508292380519924e+00,3.777544043422922382e-01
1.594063199999999902e+00,1.564328399999999952e+00,3.443074500000000149e-01,3.143622999999999834e-01,0.000000000000000000e+00,1.215849908500222787e+00,5.442343612819756649e-01
1.799417000000000044e+00,1.775948800000000105e+00,3.429536799999999830e-01,2.964251999999999998e-01,0.000000000000000000e+00,1.302176716118054411e+00,5.246386661312717470e-01
2.988597000000000059e-01,2.826931999999999778e-01,1.463149800000000111e-01,8.627619999999999734e-02,0.000000000000000000e+00,5.424906450806318281e-01,3.073630264036323334e-01
1.057515900000000064e+00,1.061606999999999967e+00,7.705618399999999979e-02,6.655086600000000019e-02,0.000000000000000000e+00,1.022924092980510347e+00,2.355271958819193379e-01
1.592754699999999968e+00,1.627387899999999998e+00,1.985716200000000042e-01,2.187788300000000075e-01,0.000000000000000000e+00,1.242011191575985718e+00,4.057434903975663532e-01
8.934573000000000098e-01,9.052344599999999630e-01,8.389675600000000288e-02,8.070148000000000599e-02,0.000000000000000000e+00,9.369624485538361469e-01,2.508777192179488802e-01
1.490536199999999978e+00,1.352305400000000102e+00,3.326739400000000013e-01,2.919699499999999781e-01,0.000000000000000000e+00,1.186163100083626798e+00,5.249083729566523804e-01
8.382264999999999855e-01,8.343629999999999658e-01,7.358829999999999538e-02,6.727895000000000403e-02,0.000000000000000000e+00,9.046674250795150307e-01,2.318454614608619069e-01
1.436822400000000055e+00,1.389743399999999962e+00,4.073933000000000137e-01,4.154161800000000238e-01,0.000000000000000000e+00,1.151228952033434449e+00,5.901860130501230817e-01
8.373406500000000197e-01,8.929548999999999959e-01,2.626670300000000235e-01,2.756334500000000021e-01,0.000000000000000000e+00,8.980876070851885329e-01,4.727524933831655507e-01
1.061155599999999977e+00,1.047818899999999998e+00,2.190935300000000086e-01,1.920897000000000021e-01,0.000000000000000000e+00,1.015347132758053439e+00,4.288437244498279899e-01
3.602066600000000118e-01,3.611384599999999945e-01,2.614614699999999736e-01,2.185898400000000075e-01,0.000000000000000000e+00,5.880320399434030287e-01,4.668375734664038101e-01
1.494491800000000037e+00,1.457410600000000001e+00,3.632142800000000005e-01,3.780164699999999933e-01,0.000000000000000000e+00,1.180354438293854225e+00,5.534932881255201220e-01
1.481088299999999913e+00,1.369497200000000081e+00,4.093933399999999945e-01,4.320237000000000105e-01,0.000000000000000000e+00,1.163741938747590243e+00,6.005129474041338566e-01
6.946125600000000455e-01,6.779732000000000536e-01,3.452323700000000106e-01,3.747666000000000053e-01,0.000000000000000000e+00,8.124646761552160035e-01,5.442388446261439139e-01
1.370615399999999928e+00,1.361150400000000094e+00,3.445863000000000120e-01,3.652988400000000135e-01,0.000000000000000000e+00,1.135227862589709424e+00,5.367943926681798539e-01
1.808155100000000015e+00,1.713278300000000032e+00,3.071568599999999760e-01,2.904487800000000175e-01,0.000000000000000000e+00,1.310211280671937928e+00,5.013351473814697812e-01
6.246540999999999899e-01,5.925962299999999461e-01,1.720807299999999873e-01,2.206042300000000123e-01,0.000000000000000000e+00,7.777401879805363460e-01,3.747740252472148148e-01
1.323178399999999977e+00,1.298513400000000040e+00,1.573218700000000025e-01,1.418527699999999891e-01,0.000000000000000000e+00,1.134226167922429918e+00,3.537427455086535333e-01
