pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
9.506308399999999770e-01,9.587244400000000111e-01,1.425479799999999964e+00,1.008346699999999929e+00,0.000000000000000000e+00,2.382193862807979040e-02,1.654253305875493796e-01
5.838233000000000450e-01,5.864169000000000187e-01,3.662253399999999992e+00,3.642753599999999814e+00,0.000000000000000000e+00,6.728556680299274499e-03,2.716833450913029302e-01
1.367543999999999982e-01,1.513436700000000135e-01,2.518964299999999934e+00,2.835576800000000119e+00,0.000000000000000000e+00,1.285032567680679388e-02,2.040449215246485926e-01
3.355078699999999858e-01,3.351888000000000090e-01,3.772118600000000210e+00,3.773252199999999945e+00,0.000000000000000000e+00,6.902608927065186084e-03,2.706658087014316427e-01
3.152779299999999840e-01,3.326206199999999780e-01,1.850085399999999991e+00,1.661104399999999925e+00,0.000000000000000000e+00,1.646540919625139390e-02,1.815838153580874581e-01
6.860515499999999545e-01,6.700135999999999870e-01,2.285829800000000134e+00,2.213381000000000043e+00,0.000000000000000000e+00,1.189849150102650563e-02,1.985969536523659595e-01
9.927067000000000530e-01,9.891315000000000524e-01,3.826274199999999848e+00,3.797911000000000037e+00,0.000000000000000000e+00,7.351390752775967610e-03,2.428804150194082689e-01
3.725679000000000074e-01,3.734941500000000247e-01,2.193886500000000073e+00,2.033053999999999917e+00,0.000000000000000000e+00,1.240660590169608002e-02,1.921304114397301699e-01
3.173739999999999895e-01,2.647109300000000109e-01,1.352139600000000108e+00,1.129927899999999985e+00,0.000000000000000000e+00,2.458838750304704474e-02,1.665544025236198877e-01
5.060761999999999761e-01,4.823732399999999809e-01,2.290953899999999877e+00,1.996585499999999902e+00,0.000000000000000000e+00,1.158075731547811987e-02,1.946484728940866826e-01
8.222893000000000008e-01,8.405862499999999793e-01,2.208997699999999842e+00,2.434818700000000113e+00,0.000000000000000000e+00,1.222781010647450324e-02,1.971198569398831535e-01
9.842864000000000058e-01,9.972467000000000414e-01,1.410990699999999931e+00,1.481226200000000048e+00,0.000000000000000000e+00,2.420876907238367001e-02,1.610045185701320658e-01
7.393286999999999498e-01,7.756712000000000051e-01,1.293932899999999941e+00,1.267595000000000027e+00,0.000000000000000000e+00,2.373512797521850140e-02,1.616353921639688551e-01
6.119475399999999565e-01,5.981419700000000228e-01,2.064803099999999780e+00,2.027200199999999786e+00,0.000000000000000000e+00,1.281560806204684252e-02,1.840083639403383153e-01
5.365067999999999504e-01,5.069187000000000554e-01,1.335848699999999889e+00,1.291515600000000097e+00,0.000000000000000000e+00,2.392732747299622723e-02,1.619341378462243741e-01
2.829904999999999782e-01,2.845385699999999907e-01,2.418184300000000064e+00,2.586080799999999957e+00,0.000000000000000000e+00,1.187943938071153206e-02,2.009496105992743809e-01
8.389514700000000325e-01,8.464638599999999569e-01,2.633849899999999966e+00,2.512436000000000114e+00,0.000000000000000000e+00,9.956748967408991097e-03,2.103519621966954689e-01
2.806718599999999952e-01,2.766614299999999860e-01,1.581304800000000066e+00,1.629174099999999958e+00,0.000000000000000000e+00,2.265813032886870859e-02,1.723714303473751486e-01
1.968715600000000010e-01,2.039599099999999943e-01,2.520426800000000078e+00,2.491682799999999975e+00,0.000000000000000000e+00,1.152993668672989795e-02,2.040412017216130802e-01
9.319092599999999615e-01,9.174691999999999847e-01,1.500944099999999892e+00,1.635105800000000054e+00,0.000000000000000000e+00,2.078152689289215760e-02,1.669591117609338371e-01
5.186196600000000378e-01,5.246815000000000229e-01,2.557042000000000037e+00,2.566422699999999946e+00,0.000000000000000000e+00,1.010456203900000731e-02,2.105521550590256918e-01
9.907521000000000244e-01,9.882917399999999741e-01,3.428570999999999813e+00,3.772067999999999977e+00,0.000000000000000000e+00,8.709097542225600203e-03,2.239933615087733032e-01
3.927889999999999993e-01,4.026218400000000086e-01,1.690321600000000091e+00,1.802760600000000046e+00,0.000000000000000000e+00,1.731824673574089077e-02,1.756666274509760262e-01
5.253259999999999597e-01,5.295259399999999728e-01,3.685086699999999826e+00,3.946642399999999995e+00,0.000000000000000000e+00,6.316187140989412002e-03,2.624452323819200239e-01
6.238019500000000495e-01,6.233071000000000028e-01,2.214191399999999810e+00,2.649936700000000034e+00,0.000000000000000000e+00,1.215550821644245313e-02,1.944777879347664717e-01
6.209955000000000336e-01,6.095071399999999473e-01,1.964140400000000009e+00,1.598828600000000044e+00,0.000000000000000000e+00,1.385736230312248178e-02,1.798589030323492211e-01
5.015557000000000487e-01,5.055631000000000430e-01,4.041008999999999851e+00,3.940513800000000177e+00,0.000000000000000000e+00,5.555403675701703348e-03,2.829498365435117457e-01
9.521137499999999809e-01,9.579693700000000423e-01,3.489756799999999881e+00,3.452355600000000191e+00,0.000000000000000000e+00,7.940741149288270406e-03,2.351502796085941371e-01
3.473164000000000251e-01,3.460484699999999969e-01,3.194377999999999940e+00,3.556531399999999898e+00,0.000000000000000000e+00,8.170000917992603987e-03,2.380780754290491297e-01
5.690490999999999744e-01,5.593355300000000252e-01,1.716702600000000078e+00,1.606009500000000090e+00,0.000000000000000000e+00,1.695165980073927783e-02,1.724007859610854621e-01
3.144801300000000244e-01,3.208435199999999932e-01,1.503387999999999947e+00,1.616668299999999947e+00,0.000000000000000000e+00,2.203425061126427359e-02,1.699459119837838372e-01
3.050325199999999737e-01,2.752331499999999820e-01,1.287857400000000041e+00,1.132154499999999953e+00,0.000000000000000000e+00,2.928861724288123539e-02,1.652769251892108604e-01
1.296120299999999892e-01,1.227292600000000067e-01,3.631452599999999808e+00,3.658832299999999815e+00,0.000000000000000000e+00,7.024769035349133495e-03,2.399606634429901630e-01
4.287679999999999825e-01,4.313198599999999994e-01,1.592641100000000032e+00,1.606500500000000109e+00,0.000000000000000000e+00,1.858031323740264723e-02,1.739897698142048865e-01
3.758104400000000234e-01,3.754725800000000002e-01,3.359938399999999881e+00,3.265654300000000010e+00,0.000000000000000000e+00,7.277288918271693739e-03,2.454241165818877024e-01
9.539440999999999615e-01,9.712648400000000182e-01,1.704600499999999963e+00,1.676452400000000065e+00,0.000000000000000000e+00,1.898638011839012818e-02,1.739525452530086003e-01
8.123036599999999829e-01,8.098965999999999665e-01,3.729451000000000072e+00,3.555694599999999816e+00,0.000000000000000000e+00,6.280754731718155189e-03,2.663591841855654785e-01
5.204192399999999497e-01,5.240641000000000327e-01,1.826243800000000084e+00,1.889510500000000093e+00,0.000000000000000000e+00,1.549820183118028744e-02,1.788636463902041895e-01
9.285873000000000044e-01,9.437113000000000307e-01,2.424441999999999986e+00,2.333258999999999972e+00,0.000000000000000000e+00,1.216921690167448687e-02,1.964899742989448250e-01
1.121212099999999989e-01,1.234247759999999999e-01,2.178756700000000102e+00,2.687237999999999793e+00,0.000000000000000000e+00,1.787603759226300340e-02,1.927799055918432702e-01
9.473880500000000371e-01,9.265930700000000186e-01,1.448489499999999985e+00,1.290030699999999975e+00,0.000000000000000000e+00,2.209675994348492614e-02,1.629570311462503196e-01
3.941905199999999887e-01,3.956568500000000044e-01,3.706423500000000093e+00,3.987222399999999833e+00,0.000000000000000000e+00,6.341370277786970329e-03,2.619873088529289795e-01
3.857936299999999985e-01,3.817246000000000250e-01,2.162591500000000000e+00,2.444332100000000008e+00,0.000000000000000000e+00,1.331554279779836869e-02,1.945145495843434436e-01
5.976179000000000352e-01,5.969419999999999726e-01,1.787468199999999952e+00,1.525315500000000046e+00,0.000000000000000000e+00,1.512660173337025508e-02,1.772747584965214396e-01
6.387397999999999687e-01,6.300592400000000204e-01,2.317038300000000106e+00,2.217640199999999950e+00,0.000000000000000000e+00,1.177500021231422424e-02,2.023623902804075891e-01
9.633393000000000095e-01,9.424993400000000188e-01,1.212095900000000004e+00,1.340296099999999990e+00,0.000000000000000000e+00,2.956392159372636316e-02,1.563304768751122287e-01
6.258825000000000083e-01,5.952659999999999618e-01,1.570829199999999926e+00,1.813805799999999913e+00,0.000000000000000000e+00,1.853338393278464516e-02,1.677086551135629489e-01
2.788222399999999990e-01,1.852903399999999978e-01,1.113596199999999925e+00,1.167718500000000104e+00,0.000000000000000000e+00,3.616814758872784891e-02,1.592221529812984371e-01
4.596046799999999877e-01,4.183643000000000223e-01,1.182111399999999923e+00,1.216672699999999940e+00,0.000000000000000000e+00,2.915900101169448602e-02,1.600294879076978039e-01
1.369904000000000122e-01,1.329198799999999903e-01,2.631399000000000044e+00,2.511700600000000172e+00,0.000000000000000000e+00,1.155133022642847000e-02,2.077344795646596520e-01
1.512104300000000068e-01,1.481847900000000107e-01,3.631909400000000065e+00,3.871897500000000214e+00,0.000000000000000000e+00,7.675438098245597994e-03,2.439144317173545240e-01
6.251929400000000303e-01,6.211883999999999739e-01,3.338705000000000034e+00,2.955304899999999790e+00,0.000000000000000000e+00,7.342614656918882918e-03,2.476050423557646374e-01
4.650771300000000052e-01,4.855906400000000178e-01,1.606107200000000068e+00,1.717923199999999984e+00,0.000000000000000000e+00,1.825929133345541300e-02,1.726269040445318204e-01
7.022338500000000483e-01,7.039633400000000485e-01,3.054926399999999820e+00,3.236344799999999911e+00,0.000000000000000000e+00,8.158073301950650308e-03,2.293322262570177961e-01
1.859475999999999907e-01,1.938187500000000119e-01,1.461618899999999943e+00,1.397526100000000104e+00,0.000000000000000000e+00,2.873512832753666313e-02,1.711605299127108848e-01
2.452714900000000087e-01,2.461882499999999974e-01,2.291231600000000146e+00,2.168185699999999994e+00,0.000000000000000000e+00,1.335842131391280947e-02,1.967536962804002920e-01
2.276439000000000101e-01,2.191683000000000103e-01,3.244835099999999972e+00,3.498847500000000110e+00,0.000000000000000000e+00,8.362045204374345814e-03,2.302238693098523914e-01
9.249140000000000139e-01,9.333561700000000405e-01,1.783611499999999905e+00,1.812380700000000067e+00,0.000000000000000000e+00,1.731145285641849316e-02,1.761208902998165071e-01
6.115466000000000513e-01,6.084884000000000404e-01,3.721590299999999907e+00,3.982873699999999850e+00,0.000000000000000000e+00,6.459272095213205653e-03,2.748202139581439329e-01
8.067484999999999795e-01,8.015287500000000120e-01,3.899400500000000047e+00,3.846541000000000210e+00,0.000000000000000000e+00,5.859199262697932682e-03,2.725179627107174873e-01
