pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
9.477198999999999485e-01,9.587244400000000111e-01,1.533878599999999981e+00,1.008346699999999929e+00,0.000000000000000000e+00,9.566045316639473217e-01,1.176552421271572557e+00
5.981332999999999789e-01,5.864169000000000187e-01,3.679745699999999786e+00,3.642753599999999814e+00,0.000000000000000000e+00,7.604183716875861920e-01,1.858190463865316389e+00
1.270307900000000045e-01,1.513436700000000135e-01,2.530271799999999960e+00,2.835576800000000119e+00,0.000000000000000000e+00,3.259228651076815919e-01,1.523930707086119440e+00
3.473004699999999723e-01,3.351888000000000090e-01,3.851123999999999992e+00,3.773252199999999945e+00,0.000000000000000000e+00,5.720488091063559155e-01,1.907259028029491210e+00
3.203705800000000159e-01,3.326206199999999780e-01,1.804246699999999981e+00,1.661104399999999925e+00,0.000000000000000000e+00,5.473022656631342242e-01,1.273755196260254685e+00
7.097987999999999520e-01,6.700135999999999870e-01,2.313084599999999824e+00,2.213381000000000043e+00,0.000000000000000000e+00,8.287598566533009858e-01,1.458026405796547964e+00
1.007250800000000002e+00,9.891315000000000524e-01,3.809400300000000072e+00,3.797911000000000037e+00,0.000000000000000000e+00,9.932749619314885647e-01,1.891293869286314822e+00
3.937496999999999803e-01,3.734941500000000247e-01,2.135525700000000082e+00,2.033053999999999917e+00,0.000000000000000000e+00,6.101447123428997976e-01,1.396090935433648594e+00
3.367763799999999863e-01,2.647109300000000109e-01,1.290186400000000067e+00,1.129927899999999985e+00,0.000000000000000000e+00,5.526854168512138621e-01,1.072391579601406519e+00
4.888068700000000044e-01,4.823732399999999809e-01,2.201397699999999791e+00,1.996585499999999902e+00,0.000000000000000000e+00,6.825386875481858073e-01,1.419549329893117884e+00
8.618488300000000102e-01,8.405862499999999793e-01,2.331803600000000198e+00,2.434818700000000113e+00,0.000000000000000000e+00,9.156637264847833357e-01,1.463322384165567147e+00
9.826655399999999485e-01,9.972467000000000414e-01,1.319192300000000095e+00,1.481226200000000048e+00,0.000000000000000000e+00,9.756130021683803166e-01,1.083521434951796314e+00
7.584853999999999763e-01,7.756712000000000051e-01,1.331458800000000053e+00,1.267595000000000027e+00,0.000000000000000000e+00,8.521366674424941667e-01,1.091875633943719670e+00
6.143594399999999789e-01,5.981419700000000228e-01,2.039984200000000136e+00,2.027200199999999786e+00,0.000000000000000000e+00,7.675858518758666982e-01,1.364552893808077982e+00
5.538690699999999634e-01,5.069187000000000554e-01,1.364333999999999936e+00,1.291515600000000097e+00,0.000000000000000000e+00,7.234872908351603904e-01,1.102726212620340318e+00
2.798454499999999956e-01,2.845385699999999907e-01,2.438717399999999813e+00,2.586080799999999957e+00,0.000000000000000000e+00,5.101313556330369092e-01,1.494473151314535952e+00
8.518873999999999613e-01,8.464638599999999569e-01,2.665153000000000105e+00,2.512436000000000114e+00,0.000000000000000000e+00,9.108131257288730742e-01,1.569206264326012734e+00
3.002479000000000120e-01,2.766614299999999860e-01,1.452617300000000000e+00,1.629174099999999958e+00,0.000000000000000000e+00,5.231651746819545590e-01,1.138003514933060289e+00
1.817231500000000000e-01,2.039599099999999943e-01,2.456885600000000114e+00,2.491682799999999975e+00,0.000000000000000000e+00,4.025653363120078598e-01,1.500128827801132436e+00
9.293974000000000402e-01,9.174691999999999847e-01,1.514963199999999954e+00,1.635105800000000054e+00,0.000000000000000000e+00,9.479435637209633336e-01,1.166279769180619930e+00
5.128854999999999942e-01,5.246815000000000229e-01,2.518693700000000035e+00,2.566422699999999946e+00,0.000000000000000000e+00,7.013409299335096048e-01,1.523104822394046431e+00
1.000650599999999946e+00,9.882917399999999741e-01,3.528656199999999910e+00,3.772067999999999977e+00,0.000000000000000000e+00,9.896149756344636561e-01,1.817312026042858797e+00
4.120959000000000150e-01,4.026218400000000086e-01,1.688037000000000010e+00,1.802760600000000046e+00,0.000000000000000000e+00,6.246743791768636367e-01,1.229704842635012119e+00
5.479060999999999515e-01,5.295259399999999728e-01,3.829439199999999932e+00,3.946642399999999995e+00,0.000000000000000000e+00,7.278925058001353143e-01,1.896522396387662068e+00
6.477838999999999681e-01,6.233071000000000028e-01,2.230375299999999950e+00,2.649936700000000034e+00,0.000000000000000000e+00,7.891365217755417216e-01,1.432120316174587238e+00
6.367926600000000104e-01,6.095071399999999473e-01,1.890510200000000030e+00,1.598828600000000044e+00,0.000000000000000000e+00,7.822805123483519418e-01,1.311104686895748994e+00
5.165121599999999980e-01,5.055631000000000430e-01,3.915133500000000044e+00,3.940513800000000177e+00,0.000000000000000000e+00,7.028208875666687172e-01,1.923322749826455791e+00
9.609155999999999809e-01,9.579693700000000423e-01,3.427741800000000172e+00,3.452355600000000191e+00,0.000000000000000000e+00,9.687200317945324768e-01,1.790188034816454721e+00
3.573216000000000170e-01,3.460484699999999969e-01,3.081054200000000076e+00,3.556531399999999898e+00,0.000000000000000000e+00,5.788323245984108301e-01,1.695701919560156812e+00
5.706740599999999830e-01,5.593355300000000252e-01,1.651105599999999951e+00,1.606009500000000090e+00,0.000000000000000000e+00,7.373717854651071768e-01,1.219667618656820718e+00
3.096658600000000150e-01,3.208435199999999932e-01,1.469654299999999969e+00,1.616668299999999947e+00,0.000000000000000000e+00,5.331185609224274868e-01,1.143149640248379839e+00
3.250393999999999783e-01,2.752331499999999820e-01,1.265106700000000028e+00,1.132154499999999953e+00,0.000000000000000000e+00,5.408142472235730747e-01,1.062761873610452712e+00
1.270102300000000017e-01,1.227292600000000067e-01,3.537104400000000037e+00,3.658832299999999815e+00,0.000000000000000000e+00,3.240441019367579778e-01,1.819595834244517096e+00
4.502277000000000085e-01,4.313198599999999994e-01,1.595122699999999893e+00,1.606500500000000109e+00,0.000000000000000000e+00,6.524252217687479538e-01,1.195411811887434839e+00
3.855500800000000172e-01,3.754725800000000002e-01,3.389529700000000201e+00,3.265654300000000010e+00,0.000000000000000000e+00,6.040356529212493886e-01,1.780923356015075676e+00
9.617271400000000359e-01,9.712648400000000182e-01,1.676549000000000067e+00,1.676452400000000065e+00,0.000000000000000000e+00,9.668384249707910882e-01,1.228916026423286567e+00
8.241368500000000319e-01,8.098965999999999665e-01,3.848073499999999925e+00,3.555694599999999816e+00,0.000000000000000000e+00,8.982274990223801936e-01,1.899185220035160215e+00
5.317302000000000417e-01,5.240641000000000327e-01,1.887678600000000095e+00,1.889510500000000093e+00,0.000000000000000000e+00,7.124169846375084658e-01,1.308211030376980055e+00
9.766897599999999624e-01,9.437113000000000307e-01,2.393866000000000049e+00,2.333258999999999972e+00,0.000000000000000000e+00,9.748266512565195718e-01,1.485404995279065332e+00
1.299311200000000110e-01,1.234247759999999999e-01,2.238929000000000169e+00,2.687237999999999793e+00,0.000000000000000000e+00,3.206779443616289416e-01,1.432964409886023693e+00
9.644877299999999876e-01,9.265930700000000186e-01,1.386514100000000083e+00,1.290030699999999975e+00,0.000000000000000000e+00,9.642215824176515460e-01,1.115854067519583825e+00
4.031048400000000198e-01,3.956568500000000044e-01,3.658608399999999872e+00,3.987222399999999833e+00,0.000000000000000000e+00,6.165878445120370754e-01,1.857749983178576203e+00
3.981199300000000108e-01,3.817246000000000250e-01,2.134541500000000092e+00,2.444332100000000008e+00,0.000000000000000000e+00,6.165263173620408876e-01,1.393101503839544453e+00
6.244444999999999579e-01,5.969419999999999726e-01,1.859473200000000048e+00,1.525315500000000046e+00,0.000000000000000000e+00,7.740161497023172466e-01,1.298218394570035406e+00
6.628336000000000228e-01,6.300592400000000204e-01,2.252958299999999969e+00,2.217640199999999950e+00,0.000000000000000000e+00,8.006873110022413309e-01,1.437192888933145341e+00
9.561385000000000023e-01,9.424993400000000188e-01,1.196398300000000026e+00,1.340296099999999990e+00,0.000000000000000000e+00,9.594940854429484522e-01,1.030635143976761592e+00
6.461322299999999741e-01,5.952659999999999618e-01,1.534722600000000048e+00,1.813805799999999913e+00,0.000000000000000000e+00,7.856878133202780390e-01,1.174751761011661566e+00
2.681010999999999811e-01,1.852903399999999978e-01,1.185571399999999942e+00,1.167718500000000104e+00,0.000000000000000000e+00,4.764378973171634613e-01,1.037551974601754523e+00
4.679120999999999975e-01,4.183643000000000223e-01,1.219643699999999997e+00,1.216672699999999940e+00,0.000000000000000000e+00,6.587566697954564399e-01,1.043169928630997445e+00
1.263296600000000103e-01,1.329198799999999903e-01,2.600482500000000030e+00,2.511700600000000172e+00,0.000000000000000000e+00,3.253395303371540703e-01,1.545603312625849712e+00
1.534722400000000098e-01,1.481847900000000107e-01,3.624026800000000215e+00,3.871897500000000214e+00,0.000000000000000000e+00,3.626266261597457241e-01,1.843796680764991480e+00
6.265614000000000461e-01,6.211883999999999739e-01,3.299328299999999992e+00,2.955304899999999790e+00,0.000000000000000000e+00,7.790601388853110043e-01,1.753768798901383263e+00
4.723523299999999869e-01,4.855906400000000178e-01,1.547267399999999959e+00,1.717923199999999984e+00,0.000000000000000000e+00,6.706490736592424229e-01,1.174722988623275510e+00
7.100737999999999772e-01,7.039633400000000485e-01,2.998914699999999822e+00,3.236344799999999911e+00,0.000000000000000000e+00,8.311015942711216242e-01,1.668875459703329733e+00
1.830403800000000025e-01,1.938187500000000119e-01,1.444633199999999951e+00,1.397526100000000104e+00,0.000000000000000000e+00,3.858796055766616773e-01,1.142974321671313742e+00
2.440466299999999866e-01,2.461882499999999974e-01,2.352825999999999862e+00,2.168185699999999994e+00,0.000000000000000000e+00,4.729728004864550694e-01,1.467503049400579629e+00
2.199612300000000076e-01,2.191683000000000103e-01,3.170251799999999953e+00,3.498847500000000110e+00,0.000000000000000000e+00,4.458311003059342581e-01,1.717899531404557978e+00
9.481045999999999641e-01,9.333561700000000405e-01,1.809216500000000005e+00,1.812380700000000067e+00,0.000000000000000000e+00,9.589283080606182397e-01,1.283519770007458760e+00
6.417699000000000042e-01,6.084884000000000404e-01,3.969313999999999787e+00,3.982873699999999850e+00,0.000000000000000000e+00,7.898412182204724852e-01,1.932125772303656230e+00
8.241296000000000177e-01,8.015287500000000120e-01,3.923365599999999898e+00,3.846541000000000210e+00,0.000000000000000000e+00,8.980810375461670825e-01,1.920382357761078795e+00
1.897111200000000109e-01,1.841181000000000068e-01,1.607416699999999921e+00,1.831946300000000027e+00,0.000000000000000000e+00,3.996183804581566190e-01,1.203659918747816304e+00
6.572820000000000329e-01,6.739967500000000333e-01,1.926266000000000034e+00,1.638954199999999917e+00,0.000000000000000000e+00,7.954219006288424376e-01,1.322760371344711805e+00
1.327452000000000076e-01,1.044986100000000057e-01,2.981207599999999847e+00,2.974714500000000150e+00,0.000000000000000000e+00,3.357302935393230436e-01,1.661926773356756426e+00
1.382790799999999987e-01,1.411276900000000001e-01,3.204593000000000025e+00,3.401279000000000163e+00,0.000000000000000000e+00,3.421093626313083114e-01,1.726757481524258564e+00
8.194810000000000150e-01,8.094036999999999482e-01,3.423045600000000022e+00,3.484182600000000019e+00,0.000000000000000000e+00,8.941854952972565496e-01,1.788640321585085902e+00
9.285533000000000259e-01,8.975794999999999746e-01,3.046083499999999944e+00,2.675804100000000130e+00,0.000000000000000000e+00,9.509257594575929451e-01,1.683600308861934014e+00
3.177585600000000232e-01,3.257980600000000004e-01,3.432668699999999795e+00,3.240408700000000142e+00,0.000000000000000000e+00,5.477923420421282330e-01,1.790703437200029668e+00
5.084686999999999957e-01,5.084317299999999706e-01,1.916158599999999934e+00,2.008144999999999847e+00,0.000000000000000000e+00,6.960549834603585451e-01,1.318250810733678335e+00
7.048309000000000379e-01,6.502082300000000536e-01,1.451454299999999975e+00,1.450518299999999927e+00,0.000000000000000000e+00,8.213676399761559166e-01,1.141453152783766134e+00
5.367774400000000501e-01,5.206694600000000284e-01,3.329057699999999897e+00,3.017303200000000185e+00,0.000000000000000000e+00,7.189402965476340279e-01,1.761878628055860263e+00
2.475587700000000113e-01,2.434053599999999873e-01,3.360874700000000104e+00,3.260771999999999782e+00,0.000000000000000000e+00,4.763942170094007111e-01,1.771694725397126691e+00
6.163113000000000063e-01,5.899103999999999459e-01,1.915217200000000064e+00,1.701222400000000023e+00,0.000000000000000000e+00,7.699158395565063318e-01,1.318377032566936169e+00
8.718538000000000121e-01,8.430201400000000289e-01,1.581893999999999911e+00,1.598937499999999901e+00,0.000000000000000000e+00,9.175762856569473769e-01,1.193835332028667873e+00
8.434136500000000147e-01,8.265081600000000472e-01,2.194259999999999877e+00,2.518189700000000197e+00,0.000000000000000000e+00,9.051110429113103928e-01,1.416511065964540794e+00
3.704284999999999939e-01,3.609124400000000010e-01,3.247940799999999850e+00,3.178152299999999819e+00,0.000000000000000000e+00,5.917145088638607886e-01,1.741703677437697939e+00
8.343745500000000481e-01,8.309263599999999750e-01,3.764675599999999900e+00,3.830150999999999861e+00,0.000000000000000000e+00,9.026325664410741467e-01,1.880010132951415835e+00
9.673458000000000334e-01,9.646966000000000152e-01,3.729843999999999937e+00,3.669836999999999794e+00,0.000000000000000000e+00,9.728427056826812747e-01,1.870167238511037500e+00
2.641583000000000125e-01,2.016089600000000037e-01,1.197203599999999923e+00,1.279928799999999978e+00,0.000000000000000000e+00,4.801834441127682540e-01,1.031315034312988210e+00
9.527314999999999534e-01,9.564394999999999980e-01,1.506193499999999963e+00,1.668953499999999979e+00,0.000000000000000000e+00,9.606178740789700354e-01,1.162132264417437222e+00
2.292883699999999914e-01,2.227716100000000088e-01,1.823230700000000093e+00,1.937753000000000059e+00,0.000000000000000000e+00,4.524135387010428389e-01,1.284760211089991833e+00
9.674247999999999736e-01,9.848640600000000411e-01,1.292724100000000043e+00,1.030597999999999903e+00,0.000000000000000000e+00,9.661863898855127530e-01,1.074640358445559274e+00
6.890503000000000045e-01,6.898436500000000304e-01,3.127765199999999801e+00,2.816620299999999855e+00,0.000000000000000000e+00,8.168329449771232209e-01,1.707063648491174535e+00
1.800325200000000014e-01,2.019120899999999885e-01,1.644286200000000031e+00,1.576856999999999953e+00,0.000000000000000000e+00,3.841874802749303264e-01,1.221744285847083500e+00
2.405477199999999927e-01,2.406910999999999912e-01,3.067232100000000017e+00,2.860774800000000173e+00,0.000000000000000000e+00,4.696275758513334675e-01,1.687626380452735164e+00
1.199443339999999997e-01,1.031719599999999931e-01,2.677408699999999975e+00,2.654168799999999884e+00,0.000000000000000000e+00,3.089002266104704519e-01,1.573380532484115912e+00
4.985665699999999867e-01,4.956066599999999767e-01,2.422826300000000099e+00,2.531380400000000197e+00,0.000000000000000000e+00,6.911905236618915982e-01,1.492012533459420975e+00
2.162978999999999874e-01,1.908460399999999946e-01,2.509536699999999954e+00,2.572065600000000174e+00,0.000000000000000000e+00,4.432702674441406643e-01,1.516572385347959573e+00
4.179999200000000248e-01,4.138181200000000115e-01,2.847548999999999886e+00,2.697223699999999891e+00,0.000000000000000000e+00,6.305847762196610251e-01,1.625018338358062975e+00
6.944780299999999684e-01,7.189622500000000249e-01,1.133162699999999967e+00,1.187909199999999998e+00,0.000000000000000000e+00,8.078342899382273679e-01,1.010588838252233890e+00
8.467504000000000142e-01,8.133970000000000367e-01,1.523134100000000046e+00,1.415316100000000077e+00,0.000000000000000000e+00,9.032613852036407431e-01,1.170979632615358534e+00
5.010479700000000092e-01,4.865554999999999741e-01,2.787676999999999961e+00,3.037962400000000063e+00,0.000000000000000000e+00,6.918923326645555205e-01,1.607097010139711513e+00
1.247451900000000058e-01,1.256696099999999872e-01,2.220005800000000029e+00,2.256411799999999968e+00,0.000000000000000000e+00,3.129994408940693362e-01,1.427676433930321620e+00
8.869325000000000125e-01,8.332914000000000154e-01,1.176994700000000060e+00,1.192658100000000054e+00,0.000000000000000000e+00,9.232844632073042845e-01,1.023126580634087457e+00
5.104605599999999521e-01,4.997852700000000037e-01,3.367267800000000033e+00,3.471889299999999956e+00,0.000000000000000000e+00,6.994737307433354090e-01,1.774160646615745351e+00
8.803111300000000528e-01,8.571750000000000203e-01,4.218489599999999839e+00,3.999993299999999863e+00,0.000000000000000000e+00,9.286096596525367231e-01,1.994609310115642575e+00
