pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
1.504279600000000050e+00,1.449630699999999939e+00,8.684692500000000537e-02,8.017183999999999422e-02,0.000000000000000000e+00,2.564404297297912319e-02,1.606900650320361099e-02
7.375156999999999963e-01,8.422986000000000084e-01,4.295507700000000262e-01,4.104789200000000249e-01,0.000000000000000000e+00,5.867494439707633680e-02,4.456949180773772667e-02
7.524007600000000018e-01,7.566300599999999932e-01,6.225862000000000063e-02,4.810791999999999846e-02,0.000000000000000000e+00,1.754746220967579040e-02,2.229404629043368891e-02
6.559924999999999784e-01,6.620013000000000147e-01,9.705046999999999979e-02,8.902179400000000131e-02,0.000000000000000000e+00,2.041337208792315047e-02,2.682527539467209274e-02
1.341467299999999918e+00,1.305740700000000087e+00,1.647113600000000011e-01,1.835730399999999929e-01,0.000000000000000000e+00,3.680855199542627798e-02,2.793302167686123952e-02
1.167384500000000047e+00,1.091985599999999890e+00,3.002520799999999768e-01,2.623129000000000155e-01,0.000000000000000000e+00,5.536647812530610946e-02,4.404770709128909972e-02
8.634650999999999854e-01,8.570037999999999823e-01,2.570254200000000044e-01,2.440750899999999945e-01,0.000000000000000000e+00,3.999243178402633880e-02,3.556230026305947506e-02
3.670634600000000081e-01,3.707978000000000107e-01,1.121120699999999942e-01,7.559714500000000448e-02,0.000000000000000000e+00,1.605585002421235780e-02,4.588192236600380225e-02
1.521143600000000040e-01,1.442940000000000056e-01,2.022594799999999915e-01,4.734649000000000219e-01,0.000000000000000000e+00,1.431571060059541774e-02,1.535304399785267226e-01
1.287331000000000003e+00,1.202824200000000010e+00,3.054737000000000147e-01,2.568322699999999736e-01,0.000000000000000000e+00,7.148023642937954836e-02,4.562214593812965319e-02
5.415758999999999990e-01,5.318262999999999741e-01,2.434277699999999878e-01,2.239841399999999982e-01,0.000000000000000000e+00,2.462613388252406915e-02,3.733917781633655508e-02
2.545310299999999915e-01,2.468869099999999872e-01,3.432141000000000219e-01,4.777111399999999786e-01,0.000000000000000000e+00,2.011998334989370876e-02,1.188055596342191406e-01
1.454052399999999912e+00,1.447353399999999901e+00,2.917003000000000235e-01,2.585215299999999994e-01,0.000000000000000000e+00,8.046488861609142618e-02,4.501159850527416961e-02
2.714949500000000127e-01,2.989365999999999968e-01,3.442683799999999850e-01,3.299941000000000124e-01,0.000000000000000000e+00,2.099651994974405245e-02,1.020876584117786506e-01
2.969154399999999749e-01,3.178360499999999811e-01,3.383291399999999727e-01,3.688748499999999764e-01,0.000000000000000000e+00,2.182798364485368653e-02,8.998328178056187732e-02
4.045082600000000084e-01,3.918998799999999783e-01,3.501779400000000209e-01,3.822000600000000081e-01,0.000000000000000000e+00,2.411801401442498563e-02,5.756619754682430062e-02
8.726696000000000453e-01,8.849447400000000075e-01,2.920647299999999946e-01,3.134187500000000237e-01,0.000000000000000000e+00,4.467143606377569492e-02,4.010476405615671924e-02
1.760904999999999943e+00,1.782011500000000082e+00,1.603393100000000127e-01,1.393573700000000082e-01,0.000000000000000000e+00,4.917219031119113987e-02,3.435041193348341987e-02
1.491150999999999893e+00,1.564328399999999952e+00,3.581263399999999875e-01,3.143622999999999834e-01,0.000000000000000000e+00,8.964314251519744925e-02,5.678145824122519253e-02
1.828456999999999999e+00,1.775948800000000105e+00,3.657346399999999997e-01,2.964251999999999998e-01,0.000000000000000000e+00,1.299448306012978838e-01,5.815887636466165328e-02
3.020404600000000106e-01,2.826931999999999778e-01,2.107518999999999920e-01,8.627619999999999734e-02,0.000000000000000000e+00,1.723765065198851199e-02,6.909320878349767270e-02
1.059853600000000062e+00,1.061606999999999967e+00,7.951866999999999963e-02,6.655086600000000019e-02,0.000000000000000000e+00,2.155321182561893700e-02,1.665635824542687979e-02
1.603506000000000098e+00,1.627387899999999998e+00,1.995800299999999916e-01,2.187788300000000075e-01,0.000000000000000000e+00,5.090179957526059368e-02,3.542580133179770718e-02
8.818091000000000124e-01,9.052344599999999630e-01,8.792561000000000127e-02,8.070148000000000599e-02,0.000000000000000000e+00,1.935360870742198341e-02,2.273450109415203410e-02
1.506458300000000028e+00,1.352305400000000102e+00,3.245006200000000174e-01,2.919699499999999781e-01,0.000000000000000000e+00,9.361295850468566437e-02,5.111213163232385115e-02
8.371264999999999956e-01,8.343629999999999658e-01,6.453030999999999351e-02,6.727895000000000403e-02,0.000000000000000000e+00,1.914111856710573600e-02,1.985736538415909871e-02
1.513525599999999915e+00,1.389743399999999962e+00,3.947309299999999799e-01,4.154161800000000238e-01,0.000000000000000000e+00,1.266572382455894152e-01,5.527060701674987170e-02
8.518803000000000347e-01,8.929548999999999959e-01,2.703892299999999804e-01,2.756334500000000021e-01,0.000000000000000000e+00,4.140083090953610573e-02,3.231026307537591263e-02
1.101559200000000072e+00,1.047818899999999998e+00,2.118642500000000040e-01,1.920897000000000021e-01,0.000000000000000000e+00,3.904842890565508873e-02,3.111173171008004001e-02
3.575744599999999829e-01,3.611384599999999945e-01,2.550252700000000261e-01,2.185898400000000075e-01,0.000000000000000000e+00,2.004559203416052954e-02,5.816474705523956568e-02
1.493398400000000015e+00,1.457410600000000001e+00,3.459416000000000158e-01,3.780164699999999933e-01,0.000000000000000000e+00,1.002433937972971867e-01,5.464336190243056224e-02
1.520641799999999932e+00,1.369497200000000081e+00,4.386151999999999829e-01,4.320237000000000105e-01,0.000000000000000000e+00,1.473739257806482017e-01,5.758220384806402720e-02
6.829155700000000273e-01,6.779732000000000536e-01,3.491893999999999831e-01,3.747666000000000053e-01,0.000000000000000000e+00,3.836965076724050544e-02,4.259266368754130450e-02
1.358837800000000096e+00,1.361150400000000094e+00,3.486447999999999769e-01,3.652988400000000135e-01,0.000000000000000000e+00,8.000835143908416325e-02,5.003596606442210076e-02
1.806954600000000077e+00,1.713278300000000032e+00,2.905085700000000215e-01,2.904487800000000175e-01,0.000000000000000000e+00,8.608827446290231999e-02,5.397156380910229229e-02
6.324980000000000047e-01,5.925962299999999461e-01,1.713886599999999982e-01,2.206042300000000123e-01,0.000000000000000000e+00,2.393860480479177710e-02,2.945250923096366658e-02
1.309958500000000026e+00,1.298513400000000040e+00,1.485494800000000115e-01,1.418527699999999891e-01,0.000000000000000000e+00,3.212899158081373302e-02,2.371519976723788711e-02
3.950981000000000076e-01,3.929445400000000088e-01,1.033066599999999946e-01,6.575883000000000422e-02,0.000000000000000000e+00,1.630181953034691086e-02,3.785851687533467458e-02
6.260844500000000146e-01,5.625873999999999597e-01,3.203255999999999881e-01,2.288823100000000055e-01,0.000000000000000000e+00,3.455959779858556319e-02,4.138268840952699645e-02
1.816557800000000000e+00,1.820797299999999952e+00,4.419137200000000099e-01,4.989795000000000202e-01,0.000000000000000000e+00,1.757580524471069605e-01,7.006480357497621436e-02
9.876947400000000155e-01,9.649219500000000282e-01,1.787746299999999899e-01,1.786173600000000028e-01,0.000000000000000000e+00,3.209604181203657564e-02,3.034289537931408182e-02
5.128715600000000041e-01,5.643793299999999569e-01,4.572023199999999954e-01,4.811668700000000243e-01,0.000000000000000000e+00,3.839421050106382738e-02,5.066501653014631595e-02
1.356302499999999966e+00,1.297564600000000068e+00,5.130970499999999712e-02,4.447576799999999886e-02,0.000000000000000000e+00,2.068471174563474638e-02,1.310588493769115903e-02
1.606074699999999966e+00,1.474504199999999932e+00,4.038287999999999878e-01,4.458672699999999822e-01,0.000000000000000000e+00,1.316874481490168391e-01,6.068152601904470977e-02
1.412796500000000011e+00,1.392121299999999895e+00,2.064699000000000048e-02,3.516053999999999707e-02,0.000000000000000000e+00,1.992269986723687117e-02,1.026710816150292610e-02
3.721369999999999956e-01,3.915665700000000027e-01,3.406846499999999778e-01,3.164249399999999879e-01,0.000000000000000000e+00,2.376959402261637211e-02,6.655650231194544519e-02
1.812916200000000089e+00,1.941124700000000036e+00,4.463396000000000030e-01,3.867090999999999723e-01,0.000000000000000000e+00,1.751584140142859458e-01,6.760687095258884061e-02
1.260234000000000076e+00,1.311656099999999991e+00,3.127055200000000146e-01,2.720737999999999768e-01,0.000000000000000000e+00,7.359322659049540027e-02,4.668023671748034592e-02
1.418895699999999982e+00,1.532370400000000021e+00,3.315504799999999808e-01,3.346658599999999817e-01,0.000000000000000000e+00,9.369062920057694144e-02,5.075724184783882154e-02
2.114910299999999965e-01,2.056339199999999978e-01,2.834827999999999792e-01,3.812333600000000211e-01,0.000000000000000000e+00,1.674406850200989630e-02,1.298108932254916914e-01
7.699468000000000423e-01,7.931620499999999518e-01,1.882456999999999880e-02,2.114362300000000028e-02,0.000000000000000000e+00,1.659041711350260281e-02,1.934911625888893066e-02
1.711983400000000044e+00,1.686115599999999937e+00,3.882204699999999842e-02,2.940513999999999975e-02,0.000000000000000000e+00,2.471268500183660885e-02,1.112387612300676405e-02
1.818324700000000016e+00,1.992631800000000064e+00,3.985622999999999805e-01,4.359783199999999748e-01,0.000000000000000000e+00,1.548520422855313716e-01,8.083127736216964843e-02
1.307635000000000103e+00,1.343646600000000024e+00,2.011144300000000107e-01,2.092613399999999901e-01,0.000000000000000000e+00,4.595086179822963773e-02,3.196425503589908623e-02
1.822101200000000087e+00,1.796333399999999969e+00,4.010824000000000056e-01,3.528967199999999971e-01,0.000000000000000000e+00,1.490146200880974048e-01,6.697316328201916025e-02
1.347501300000000013e+00,1.369294500000000081e+00,3.516256799999999960e-01,3.221857499999999930e-01,0.000000000000000000e+00,9.068497119148244412e-02,5.956425941787574924e-02
6.021571999999999480e-01,5.839336499999999708e-01,4.669070200000000059e-01,4.633619800000000066e-01,0.000000000000000000e+00,5.243565771495576483e-02,5.885300502098426978e-02
1.011233000000000049e+00,9.811396599999999690e-01,1.034295040000000054e-01,1.261830499999999911e-01,0.000000000000000000e+00,2.241042837609312846e-02,1.897093092075346696e-02
1.600653199999999998e+00,1.543534399999999973e+00,1.083989800000000059e-01,1.475472499999999909e-01,0.000000000000000000e+00,3.129812773953100091e-02,1.803384401618246188e-02
1.910478200000000015e+00,1.891431499999999932e+00,3.034544700000000109e-02,3.186469499999999844e-02,0.000000000000000000e+00,2.512323128102752698e-02,9.082809036856383245e-03
1.058858999999999995e+00,1.089869500000000047e+00,4.448295199999999783e-01,4.941074799999999878e-01,0.000000000000000000e+00,8.822599390202413849e-02,5.464224373138423796e-02
7.605192699999999695e-01,7.661164000000000307e-01,2.415483300000000055e-01,2.949588300000000052e-01,0.000000000000000000e+00,3.439940987865925531e-02,3.663248831297159086e-02
1.104115399999999969e+00,1.073701299999999970e+00,4.692588699999999946e-02,7.014049599999999662e-02,0.000000000000000000e+00,1.892334484175564602e-02,1.427080761554860334e-02
7.196981999999999546e-01,7.276917000000000524e-01,1.214736899999999953e-01,1.307222399999999896e-01,0.000000000000000000e+00,2.275986489415084482e-02,2.788478438145075566e-02
1.736637699999999951e+00,1.722947999999999924e+00,1.278475700000000076e-02,3.445240200000000089e-03,0.000000000000000000e+00,2.276965414757105982e-02,8.610580410169803994e-03
1.579985100000000031e+00,1.586111100000000107e+00,1.556704499999999880e-01,1.927942199999999884e-01,0.000000000000000000e+00,4.052775592109683633e-02,2.918525226891143312e-02
1.026372099999999898e+00,1.019668599999999925e+00,2.745588100000000142e-02,2.119342399999999890e-02,0.000000000000000000e+00,1.726934567376540650e-02,1.452147134418547807e-02
7.533001000000000280e-01,8.017598999999999698e-01,3.594588000000000227e-01,4.593279399999999901e-01,0.000000000000000000e+00,4.833217354930357396e-02,4.652924241807510769e-02
1.977222299999999988e+00,1.991838699999999962e+00,6.849418599999999857e-02,7.431175600000000658e-02,0.000000000000000000e+00,2.899815683797851359e-02,1.552546295606027985e-02
9.910337000000000174e-01,9.922872000000000359e-01,5.239483699999999966e-02,9.183180999999999983e-02,0.000000000000000000e+00,1.885880537043637881e-02,1.704911669266182331e-02
1.427611600000000092e+00,1.629929399999999973e+00,4.411926299999999745e-01,4.248079399999999950e-01,0.000000000000000000e+00,1.637426517435209838e-01,7.033685093889262274e-02
9.027254599999999796e-01,9.074252999999999902e-01,2.755238900000000005e-02,1.930273999999999879e-02,0.000000000000000000e+00,1.588987948349514581e-02,1.676837917033128025e-02
1.107600700000000105e+00,1.103135999999999894e+00,5.443306299999999681e-02,6.978067999999999771e-02,0.000000000000000000e+00,2.018956908901227768e-02,1.447765450616915472e-02
9.334956399999999599e-01,9.841723999999999473e-01,1.356983800000000073e-01,1.745319499999999913e-01,0.000000000000000000e+00,2.492828052634196365e-02,2.532831222170162794e-02
2.308258300000000096e-01,2.123558999999999863e-01,3.052009299999999814e-01,3.447120799999999763e-01,0.000000000000000000e+00,1.851314397934613470e-02,1.265848174150439043e-01
4.635918700000000170e-01,4.696712499999999846e-01,4.333103999999999845e-01,4.499952799999999975e-01,0.000000000000000000e+00,3.644703691659995776e-02,6.050404284012763506e-02
6.959537000000000084e-01,7.151426699999999803e-01,1.704048200000000124e-01,1.754113900000000004e-01,0.000000000000000000e+00,2.438625842559698567e-02,3.233679019321491349e-02
1.244777999999999940e+00,1.230615100000000073e+00,3.517952599999999985e-01,3.793257800000000013e-01,0.000000000000000000e+00,8.472813877337327659e-02,5.159187242192320166e-02
7.531639300000000370e-01,7.229932500000000317e-01,4.670929300000000173e-01,4.445154000000000050e-01,0.000000000000000000e+00,6.375049803727027287e-02,5.251642981010799793e-02
1.531561500000000020e+00,1.498064199999999957e+00,3.782612699999999828e-01,3.072946400000000078e-01,0.000000000000000000e+00,1.102957524114142884e-01,5.417870245770010917e-02
1.430601100000000070e+00,1.688862899999999945e+00,3.764559599999999784e-01,4.725861800000000223e-01,0.000000000000000000e+00,1.016431010939748969e-01,5.100633392040639785e-02
8.942522000000000526e-01,9.329321999999999893e-01,1.487735500000000044e-01,1.543771499999999908e-01,0.000000000000000000e+00,2.802493354140202231e-02,2.605852183067949857e-02
2.966144000000000003e-01,2.728881000000000223e-01,1.536196800000000084e-01,7.666236999999999358e-02,0.000000000000000000e+00,1.608787245101104060e-02,7.882084115257842472e-02
