pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
1.474034099999999903e+00,1.449630699999999939e+00,7.025570400000000215e-02,8.017183999999999422e-02,0.000000000000000000e+00,1.201441883738035843e+00,2.415401043305231421e-01
7.293382000000000476e-01,8.422986000000000084e-01,4.085324000000000177e-01,4.104789200000000249e-01,0.000000000000000000e+00,8.174668188984798300e-01,6.015283368221316929e-01
7.572351000000000498e-01,7.566300599999999932e-01,6.086047700000000310e-02,4.810791999999999846e-02,0.000000000000000000e+00,8.578615272874754449e-01,2.102757594208138903e-01
6.821285000000000265e-01,6.620013000000000147e-01,9.772432000000000341e-02,8.902179400000000131e-02,0.000000000000000000e+00,8.099785182336628475e-01,2.678381414212696043e-01
1.302445400000000086e+00,1.305740700000000087e+00,1.841024800000000128e-01,1.835730399999999929e-01,0.000000000000000000e+00,1.125639951316583343e+00,3.909979028076748797e-01
1.192267900000000047e+00,1.091985599999999890e+00,3.029886800000000102e-01,2.623129000000000155e-01,0.000000000000000000e+00,1.058838609042945800e+00,5.110306546578199383e-01
8.692598299999999556e-01,8.570037999999999823e-01,2.590815399999999991e-01,2.440750899999999945e-01,0.000000000000000000e+00,9.117677061620464984e-01,4.616737809319476638e-01
3.786839799999999756e-01,3.707978000000000107e-01,1.126222459999999953e-01,7.559714500000000448e-02,0.000000000000000000e+00,6.003799213831187975e-01,2.838829512316651815e-01
1.485661600000000027e-01,1.442940000000000056e-01,2.531999300000000175e-01,4.734649000000000219e-01,0.000000000000000000e+00,3.628528489622205311e-01,3.625618981636101190e-01
1.266286299999999976e+00,1.202824200000000010e+00,3.131184599999999874e-01,2.568322699999999736e-01,0.000000000000000000e+00,1.096818262065325067e+00,5.171996229697002345e-01
5.493303000000000491e-01,5.318262999999999741e-01,2.591739299999999968e-01,2.239841399999999982e-01,0.000000000000000000e+00,7.223046448694622201e-01,4.693732203694624960e-01
2.420727799999999874e-01,2.468869099999999872e-01,4.132859700000000025e-01,4.777111399999999786e-01,0.000000000000000000e+00,4.405619139235710247e-01,5.815928816620781205e-01
1.495734099999999955e+00,1.447353399999999901e+00,2.939144699999999832e-01,2.585215299999999994e-01,0.000000000000000000e+00,1.191923655273273042e+00,5.010956695083285117e-01
2.982222700000000115e-01,2.989365999999999968e-01,3.904439000000000104e-01,3.299941000000000124e-01,0.000000000000000000e+00,5.199886537223673555e-01,5.717479164806812397e-01
2.865970999999999935e-01,3.178360499999999811e-01,3.355732599999999843e-01,3.688748499999999764e-01,0.000000000000000000e+00,5.142874682509772644e-01,5.206651323067447157e-01
3.916110999999999898e-01,3.918998799999999783e-01,3.570710999999999746e-01,3.822000600000000081e-01,0.000000000000000000e+00,6.064271761720445575e-01,5.501501067890471885e-01
9.361087000000000158e-01,8.849447400000000075e-01,3.082777300000000276e-01,3.134187500000000237e-01,0.000000000000000000e+00,9.422030566709068689e-01,5.151039700875931215e-01
1.751746500000000095e+00,1.782011500000000082e+00,1.819169800000000059e-01,1.393573700000000082e-01,0.000000000000000000e+00,1.303480686469884020e+00,3.839721604491658780e-01
1.563770700000000069e+00,1.564328399999999952e+00,3.455359599999999753e-01,3.143622999999999834e-01,0.000000000000000000e+00,1.203553737894573539e+00,5.462379243516509719e-01
1.815039300000000022e+00,1.775948800000000105e+00,3.542594299999999863e-01,2.964251999999999998e-01,0.000000000000000000e+00,1.300386288761920195e+00,5.484922515405299404e-01
3.180045000000000233e-01,2.826931999999999778e-01,1.630828699999999909e-01,8.627619999999999734e-02,0.000000000000000000e+00,5.446410193880001360e-01,3.355668711300327511e-01
1.071040599999999898e+00,1.061606999999999967e+00,7.118717600000000478e-02,6.655086600000000019e-02,0.000000000000000000e+00,1.025559164553659475e+00,2.409552655577379132e-01
1.569495400000000096e+00,1.627387899999999998e+00,2.017130900000000115e-01,2.187788300000000075e-01,0.000000000000000000e+00,1.227154635732595978e+00,4.084370820579346084e-01
8.747091000000000172e-01,9.052344599999999630e-01,9.663003000000000564e-02,8.070148000000000599e-02,0.000000000000000000e+00,9.234220053691595265e-01,2.843693724717906157e-01
1.489152000000000031e+00,1.352305400000000102e+00,3.259178400000000142e-01,2.919699499999999781e-01,0.000000000000000000e+00,1.186107330725175268e+00,5.268304945615809309e-01
