pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
9.431072000000000344e-01,9.587244400000000111e-01,1.440034000000000036e+00,1.008346699999999929e+00,0.000000000000000000e+00,2.055692340794215353e-02,1.808876502141591736e-01
5.727904999999999802e-01,5.864169000000000187e-01,3.839049300000000109e+00,3.642753599999999814e+00,0.000000000000000000e+00,1.120995093655632359e-02,2.880464302851191150e-01
1.298458600000000074e-01,1.513436700000000135e-01,2.559000699999999906e+00,2.835576800000000119e+00,0.000000000000000000e+00,1.390728298410584540e-02,2.264237178389225114e-01
3.216337000000000224e-01,3.351888000000000090e-01,3.791425700000000010e+00,3.773252199999999945e+00,0.000000000000000000e+00,1.874013126955091646e-02,2.831148071012888900e-01
3.191748999999999836e-01,3.326206199999999780e-01,1.737130000000000063e+00,1.661104399999999925e+00,0.000000000000000000e+00,1.739399379096129294e-02,1.919293463751700346e-01
6.936786000000000341e-01,6.700135999999999870e-01,2.197300699999999996e+00,2.213381000000000043e+00,0.000000000000000000e+00,1.783180865756471903e-02,2.161249545980287734e-01
1.015472799999999953e+00,9.891315000000000524e-01,3.803139999999999965e+00,3.797911000000000037e+00,0.000000000000000000e+00,1.504783539250745435e-02,2.753385915559241059e-01
3.640405800000000025e-01,3.734941500000000247e-01,2.099133699999999880e+00,2.033053999999999917e+00,0.000000000000000000e+00,1.565488645758889019e-02,2.023118632211171330e-01
3.041621999999999937e-01,2.647109300000000109e-01,1.367264999999999953e+00,1.129927899999999985e+00,0.000000000000000000e+00,2.909585314095464170e-02,1.851234993186980649e-01
4.989017800000000169e-01,4.823732399999999809e-01,2.423478999999999939e+00,1.996585499999999902e+00,0.000000000000000000e+00,1.724818889043136516e-02,2.210469226205151183e-01
8.082353500000000190e-01,8.405862499999999793e-01,2.177626399999999851e+00,2.434818700000000113e+00,0.000000000000000000e+00,2.183916825339280235e-02,2.148704028013165013e-01
9.887088000000000543e-01,9.972467000000000414e-01,1.637227399999999999e+00,1.481226200000000048e+00,0.000000000000000000e+00,1.916712550175429797e-02,1.834702891478617592e-01
7.281084700000000076e-01,7.756712000000000051e-01,1.489317900000000083e+00,1.267595000000000027e+00,0.000000000000000000e+00,2.594504480628237464e-02,1.901793889989133457e-01
5.862766999999999840e-01,5.981419700000000228e-01,2.191495699999999935e+00,2.027200199999999786e+00,0.000000000000000000e+00,2.331747198990490738e-02,2.189390189070920256e-01
5.319905999999999802e-01,5.069187000000000554e-01,1.421511399999999981e+00,1.291515600000000097e+00,0.000000000000000000e+00,2.722477915429251036e-02,1.888112072944823916e-01
2.762433999999999723e-01,2.845385699999999907e-01,2.477186000000000110e+00,2.586080799999999957e+00,0.000000000000000000e+00,1.407174473901513095e-02,2.138423110612116540e-01
