pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
9.181176399999999571e-01,9.587244400000000111e-01,1.507185199999999892e+00,1.008346699999999929e+00,0.000000000000000000e+00,9.446695718609761094e-01,1.159306171811398611e+00
5.918951000000000073e-01,5.864169000000000187e-01,3.575141400000000136e+00,3.642753599999999814e+00,0.000000000000000000e+00,7.508295412408865221e-01,1.828155245048953548e+00
1.334131699999999976e-01,1.513436700000000135e-01,2.439200000000000035e+00,2.835576800000000119e+00,0.000000000000000000e+00,3.358766365795632369e-01,1.498013017299916427e+00
3.298619999999999886e-01,3.351888000000000090e-01,4.015232000000000134e+00,3.773252199999999945e+00,0.000000000000000000e+00,5.557290886754084891e-01,1.939158992965765105e+00
3.074320600000000070e-01,3.326206199999999780e-01,1.851012799999999903e+00,1.661104399999999925e+00,0.000000000000000000e+00,5.356751627619111833e-01,1.293329385732806980e+00
7.017519500000000132e-01,6.700135999999999870e-01,2.301523700000000172e+00,2.213381000000000043e+00,0.000000000000000000e+00,8.237986404455884815e-01,1.452229320734160112e+00
9.988363000000000103e-01,9.891315000000000524e-01,3.821388699999999972e+00,3.797911000000000037e+00,0.000000000000000000e+00,9.880201414951013117e-01,1.893437720127070900e+00
3.633450999999999764e-01,3.734941500000000247e-01,2.166856999999999811e+00,2.033053999999999917e+00,0.000000000000000000e+00,5.869709277298152950e-01,1.405085762507043645e+00
2.904263400000000050e-01,2.647109300000000109e-01,1.332606699999999922e+00,1.129927899999999985e+00,0.000000000000000000e+00,5.083597151624034138e-01,1.092118720652658581e+00
5.010192399999999768e-01,4.823732399999999809e-01,2.276361000000000079e+00,1.996585499999999902e+00,0.000000000000000000e+00,6.906302483963470129e-01,1.444525769932817783e+00
8.009275000000000144e-01,8.405862499999999793e-01,2.347392000000000145e+00,2.434818700000000113e+00,0.000000000000000000e+00,8.809012430460068099e-01,1.467946082116097450e+00
