pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
1.465040200000000015e+00,1.449630699999999939e+00,8.229343000000000075e-02,8.017183999999999422e-02,0.000000000000000000e+00,2.449246006427284114e-02,1.628973726000514793e-02
7.180647999999999476e-01,8.422986000000000084e-01,4.178030200000000249e-01,4.104789200000000249e-01,0.000000000000000000e+00,5.013082584598024111e-02,4.970768049305861885e-02
7.598986599999999481e-01,7.566300599999999932e-01,7.385336600000000362e-02,4.810791999999999846e-02,0.000000000000000000e+00,1.245881214241550440e-02,2.006069689716685756e-02
6.679283400000000093e-01,6.620013000000000147e-01,1.000943700000000020e-01,8.902179400000000131e-02,0.000000000000000000e+00,1.507880333448248164e-02,2.694732639799354845e-02
1.301468700000000034e+00,1.305740700000000087e+00,1.669041400000000064e-01,1.835730399999999929e-01,0.000000000000000000e+00,3.826942774591749613e-02,2.828288881992078313e-02
1.188954599999999973e+00,1.091985599999999890e+00,2.992525699999999955e-01,2.623129000000000155e-01,0.000000000000000000e+00,5.929410931956057007e-02,4.122976958460961017e-02
8.476692399999999905e-01,8.570037999999999823e-01,2.640430599999999961e-01,2.440750899999999945e-01,0.000000000000000000e+00,3.535170010056093437e-02,3.473938255064416142e-02
3.715471000000000190e-01,3.707978000000000107e-01,1.133205099999999993e-01,7.559714500000000448e-02,0.000000000000000000e+00,1.231931248081645155e-02,4.447404411564120225e-02
1.565757100000000068e-01,1.442940000000000056e-01,2.261100100000000002e-01,4.734649000000000219e-01,0.000000000000000000e+00,1.225441267462459849e-02,1.108398709851288050e-01
1.217155299999999940e+00,1.202824200000000010e+00,3.161619299999999799e-01,2.568322699999999736e-01,0.000000000000000000e+00,6.935357957596709200e-02,4.403822203495504073e-02
5.531932000000000516e-01,5.318262999999999741e-01,2.378367600000000082e-01,2.239841399999999982e-01,0.000000000000000000e+00,2.167366028154912166e-02,3.571226119976163293e-02
2.501427500000000248e-01,2.468869099999999872e-01,3.817899799999999733e-01,4.777111399999999786e-01,0.000000000000000000e+00,1.919934582218883745e-02,9.480342293398483222e-02
1.442151399999999972e+00,1.447353399999999901e+00,2.829677800000000021e-01,2.585215299999999994e-01,0.000000000000000000e+00,7.983577205739292304e-02,4.367244211170243084e-02
2.691702799999999840e-01,2.989365999999999968e-01,3.508916499999999994e-01,3.299941000000000124e-01,0.000000000000000000e+00,1.903843218334955179e-02,8.783029659519543675e-02
2.956713000000000258e-01,3.178360499999999811e-01,3.496332799999999907e-01,3.688748499999999764e-01,0.000000000000000000e+00,1.960578129022151270e-02,8.367117424776587820e-02
3.799835699999999927e-01,3.918998799999999783e-01,3.328092000000000272e-01,3.822000600000000081e-01,0.000000000000000000e+00,2.097644869848087554e-02,5.793652906414052672e-02
9.038966999999999974e-01,8.849447400000000075e-01,3.029787999999999926e-01,3.134187500000000237e-01,0.000000000000000000e+00,4.179694606068725532e-02,3.868286571597300688e-02
1.787362799999999918e+00,1.782011500000000082e+00,1.641796199999999983e-01,1.393573700000000082e-01,0.000000000000000000e+00,4.857677428566042205e-02,3.199220686354724980e-02
1.648114800000000102e+00,1.564328399999999952e+00,3.297674999999999912e-01,3.143622999999999834e-01,0.000000000000000000e+00,9.204973655584246239e-02,5.392728901029607280e-02
