pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
1.482453299999999974e+00,1.449630699999999939e+00,7.412884999999999613e-02,8.017183999999999422e-02,0.000000000000000000e+00,1.207693379960327551e+00,2.406443371450905366e-01
7.274486999999999481e-01,8.422986000000000084e-01,4.001460000000000017e-01,4.104789200000000249e-01,0.000000000000000000e+00,8.237245716864345368e-01,5.946686304152927205e-01
7.633541000000000354e-01,7.566300599999999932e-01,7.747906999999999711e-02,4.810791999999999846e-02,0.000000000000000000e+00,8.586157114798215195e-01,2.311440373446825569e-01
6.723843000000000458e-01,6.620013000000000147e-01,8.859968999999999484e-02,8.902179400000000131e-02,0.000000000000000000e+00,8.093941561439642607e-01,2.679629377357996001e-01
1.333056199999999913e+00,1.305740700000000087e+00,1.625423000000000007e-01,1.835730399999999929e-01,0.000000000000000000e+00,1.140144157552017701e+00,3.677303631738885747e-01
1.192797899999999967e+00,1.091985599999999890e+00,3.242570499999999911e-01,2.623129000000000155e-01,0.000000000000000000e+00,1.061086235892257701e+00,5.246399146081053289e-01
8.752191999999999750e-01,8.570037999999999823e-01,2.711664999999999770e-01,2.440750899999999945e-01,0.000000000000000000e+00,9.098721338737657538e-01,4.882201245340056506e-01
3.727897700000000203e-01,3.707978000000000107e-01,8.225691999999999726e-02,7.559714500000000448e-02,0.000000000000000000e+00,5.930132544893073065e-01,1.982712182844499349e-01
1.508552599999999910e-01,1.442940000000000056e-01,2.111319899999999916e-01,4.734649000000000219e-01,0.000000000000000000e+00,3.697353783451077791e-01,3.155999683143203560e-01
1.267948599999999981e+00,1.202824200000000010e+00,2.984317499999999956e-01,2.568322699999999736e-01,0.000000000000000000e+00,1.091166302632188057e+00,5.000632659974135752e-01
5.558739000000000319e-01,5.318262999999999741e-01,2.407171399999999961e-01,2.239841399999999982e-01,0.000000000000000000e+00,7.257215512853397721e-01,4.540624076049458724e-01
2.456234499999999932e-01,2.468869099999999872e-01,4.314597800000000150e-01,4.777111399999999786e-01,0.000000000000000000e+00,4.774856856493187029e-01,5.865086103374783644e-01
1.483867899999999906e+00,1.447353399999999901e+00,2.930159600000000197e-01,2.585215299999999994e-01,0.000000000000000000e+00,1.184829312601608509e+00,4.974625212013463749e-01
2.862398600000000126e-01,2.989365999999999968e-01,3.638215699999999830e-01,3.299941000000000124e-01,0.000000000000000000e+00,5.166011033669982710e-01,5.368567965482042847e-01
3.038132800000000189e-01,3.178360499999999811e-01,3.436162200000000277e-01,3.688748499999999764e-01,0.000000000000000000e+00,5.336546355087716798e-01,5.220940240991081005e-01
3.783679300000000190e-01,3.918998799999999783e-01,3.630895000000000095e-01,3.822000600000000081e-01,0.000000000000000000e+00,5.975411031887262192e-01,5.505060671781919490e-01
8.931567700000000443e-01,8.849447400000000075e-01,3.033086400000000182e-01,3.134187500000000237e-01,0.000000000000000000e+00,9.195005709623023105e-01,5.166927520296757947e-01
1.774352099999999988e+00,1.782011500000000082e+00,1.759772300000000123e-01,1.393573700000000082e-01,0.000000000000000000e+00,1.317183738132231996e+00,3.943210874401723021e-01
1.571442800000000029e+00,1.564328399999999952e+00,3.420848000000000222e-01,3.143622999999999834e-01,0.000000000000000000e+00,1.215513965366091576e+00,5.359378322156405083e-01
1.821360300000000043e+00,1.775948800000000105e+00,3.396544000000000230e-01,2.964251999999999998e-01,0.000000000000000000e+00,1.310064196900289302e+00,5.312897138097066874e-01
2.807462199999999908e-01,2.826931999999999778e-01,1.232340700000000011e-01,8.627619999999999734e-02,0.000000000000000000e+00,5.247212593368025813e-01,2.607596978062369231e-01
1.067719300000000038e+00,1.061606999999999967e+00,4.509538400000000224e-02,6.655086600000000019e-02,0.000000000000000000e+00,1.030452667520444621e+00,1.841362891990603601e-01
