pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
9.530904000000000043e-01,9.587244400000000111e-01,1.221499799999999913e+00,1.008346699999999929e+00,0.000000000000000000e+00,2.489752397327894828e-02,1.761062207873418661e-01
5.861138000000000181e-01,5.864169000000000187e-01,3.548267099999999896e+00,3.642753599999999814e+00,0.000000000000000000e+00,8.128175994649721597e-03,2.806983256095411661e-01
1.293854000000000115e-01,1.513436700000000135e-01,2.460374600000000189e+00,2.835576800000000119e+00,0.000000000000000000e+00,1.564774584405050767e-02,2.478996732551295712e-01
3.326652600000000182e-01,3.351888000000000090e-01,3.653100300000000189e+00,3.773252199999999945e+00,0.000000000000000000e+00,7.721708683963672895e-03,2.834907229522687366e-01
3.122270699999999954e-01,3.326206199999999780e-01,1.804172000000000109e+00,1.661104399999999925e+00,0.000000000000000000e+00,1.998232719179625361e-02,2.071880546749739760e-01
7.034150999999999598e-01,6.700135999999999870e-01,2.512966000000000033e+00,2.213381000000000043e+00,0.000000000000000000e+00,1.365542273237998344e-02,2.324382391088006816e-01
9.910096000000000460e-01,9.891315000000000524e-01,3.545202699999999929e+00,3.797911000000000037e+00,0.000000000000000000e+00,7.659786224171011640e-03,2.718676589813507349e-01
3.952413200000000071e-01,3.734941500000000247e-01,2.176921000000000106e+00,2.033053999999999917e+00,0.000000000000000000e+00,1.603267289007045265e-02,2.168876783037708700e-01
3.232968399999999742e-01,2.647109300000000109e-01,1.399703300000000095e+00,1.129927899999999985e+00,0.000000000000000000e+00,2.578035977250899349e-02,2.010914468593828497e-01
4.828340999999999883e-01,4.823732399999999809e-01,2.043556000000000150e+00,1.996585499999999902e+00,0.000000000000000000e+00,1.726864499606150377e-02,2.135857673160831138e-01
8.295635999999999566e-01,8.405862499999999793e-01,2.271617200000000114e+00,2.434818700000000113e+00,0.000000000000000000e+00,1.519639529625364804e-02,2.223312843483795376e-01
9.773804999999999854e-01,9.972467000000000414e-01,1.455179800000000023e+00,1.481226200000000048e+00,0.000000000000000000e+00,2.308041529089110630e-02,1.900573229317933932e-01
7.448247999999999536e-01,7.756712000000000051e-01,1.390537300000000087e+00,1.267595000000000027e+00,0.000000000000000000e+00,2.391236165668293029e-02,1.885024031677050016e-01
6.064414999999999667e-01,5.981419700000000228e-01,2.192588000000000203e+00,2.027200199999999786e+00,0.000000000000000000e+00,1.628245436044578609e-02,2.218802717683570902e-01
5.399614600000000042e-01,5.069187000000000554e-01,1.314437499999999925e+00,1.291515600000000097e+00,0.000000000000000000e+00,2.736315953978999196e-02,1.989518032087168597e-01
2.792953300000000083e-01,2.845385699999999907e-01,2.390477399999999975e+00,2.586080799999999957e+00,0.000000000000000000e+00,1.467614595184989386e-02,2.287894665407478878e-01
8.511821000000000526e-01,8.464638599999999569e-01,2.619907099999999822e+00,2.512436000000000114e+00,0.000000000000000000e+00,1.261398905977010806e-02,2.351201182374660081e-01
2.745542999999999734e-01,2.766614299999999860e-01,1.572995900000000002e+00,1.629174099999999958e+00,0.000000000000000000e+00,2.354502070502381000e-02,2.063986434063944941e-01
1.853362799999999921e-01,2.039599099999999943e-01,2.449189699999999803e+00,2.491682799999999975e+00,0.000000000000000000e+00,1.507060980849812826e-02,2.397082393243920029e-01
9.322300599999999715e-01,9.174691999999999847e-01,1.416743599999999992e+00,1.635105800000000054e+00,0.000000000000000000e+00,2.276648413787249817e-02,1.864791945499550962e-01
5.062676000000000398e-01,5.246815000000000229e-01,2.758714200000000005e+00,2.566422699999999946e+00,0.000000000000000000e+00,1.232950688389442342e-02,2.463257315020093430e-01
9.902404500000000498e-01,9.882917399999999741e-01,3.344823400000000113e+00,3.772067999999999977e+00,0.000000000000000000e+00,8.249871514150993249e-03,2.579382096549481806e-01
3.832695999999999881e-01,4.026218400000000086e-01,1.770638200000000051e+00,1.802760600000000046e+00,0.000000000000000000e+00,2.053701852752731066e-02,2.085134695888972989e-01
5.325271499999999492e-01,5.295259399999999728e-01,3.321578000000000142e+00,3.946642399999999995e+00,0.000000000000000000e+00,9.250834556946739909e-03,2.730355031859409976e-01
6.262472000000000039e-01,6.233071000000000028e-01,2.017933100000000035e+00,2.649936700000000034e+00,0.000000000000000000e+00,1.783200493494772540e-02,2.158943839010176724e-01
6.261162999999999590e-01,6.095071399999999473e-01,1.806700699999999937e+00,1.598828600000000044e+00,0.000000000000000000e+00,2.001639827741244840e-02,2.085223249438774296e-01
5.004047000000000356e-01,5.055631000000000430e-01,3.758777900000000116e+00,3.940513800000000177e+00,0.000000000000000000e+00,7.319470609272230553e-03,2.926072794719912773e-01
9.552069300000000096e-01,9.579693700000000423e-01,3.464771499999999893e+00,3.452355600000000191e+00,0.000000000000000000e+00,7.525514334582055279e-03,2.581474772295867526e-01
3.343827699999999958e-01,3.460484699999999969e-01,2.974285399999999857e+00,3.556531399999999898e+00,0.000000000000000000e+00,1.083080052443031495e-02,2.519337611357398421e-01
5.535322000000000298e-01,5.593355300000000252e-01,1.625527100000000003e+00,1.606009500000000090e+00,0.000000000000000000e+00,2.146088884459355223e-02,1.990541082218601210e-01
