pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
8.347128600000000009e-01,9.587244400000000111e-01,1.460292700000000110e+00,1.008346699999999929e+00,0.000000000000000000e+00,8.942467500639854627e-01,1.136921545226406538e+00
5.712188499999999447e-01,5.864169000000000187e-01,3.623393500000000156e+00,3.642753599999999814e+00,0.000000000000000000e+00,7.431182678416673459e-01,1.838000761697339502e+00
1.193369299999999938e-01,1.513436700000000135e-01,2.502854000000000134e+00,2.835576800000000119e+00,0.000000000000000000e+00,2.988522042749559571e-01,1.513908682847152409e+00
3.376235000000000208e-01,3.351888000000000090e-01,3.959809799999999935e+00,3.773252199999999945e+00,0.000000000000000000e+00,5.648078965453652289e-01,1.925410969118021898e+00
3.325953799999999960e-01,3.326206199999999780e-01,1.661933899999999964e+00,1.661104399999999925e+00,0.000000000000000000e+00,5.498424137878051843e-01,1.216361212798237945e+00
6.948361400000000465e-01,6.700135999999999870e-01,2.133118599999999976e+00,2.213381000000000043e+00,0.000000000000000000e+00,8.212598857852487777e-01,1.386559194553193208e+00
1.013467200000000012e+00,9.891315000000000524e-01,3.880726999999999816e+00,3.797911000000000037e+00,0.000000000000000000e+00,9.939719563448458084e-01,1.911606575632130545e+00
3.875715000000000132e-01,3.734941500000000247e-01,2.116798399999999969e+00,2.033053999999999917e+00,0.000000000000000000e+00,6.018032070369848663e-01,1.384028287283175507e+00
3.406292499999999945e-01,2.647109300000000109e-01,1.244596999999999953e+00,1.129927899999999985e+00,0.000000000000000000e+00,5.525340894460720742e-01,1.039380729088239308e+00
4.922917499999999724e-01,4.823732399999999809e-01,2.297715199999999847e+00,1.996585499999999902e+00,0.000000000000000000e+00,6.842146592992581766e-01,1.445215347275277118e+00
8.162682999999999467e-01,8.405862499999999793e-01,2.224034800000000089e+00,2.434818700000000113e+00,0.000000000000000000e+00,8.904392736172411782e-01,1.423101542406584707e+00
9.821130999999999611e-01,9.972467000000000414e-01,1.374409400000000003e+00,1.481226200000000048e+00,0.000000000000000000e+00,9.703523844459805980e-01,1.101347038857416694e+00
7.370042999999999456e-01,7.756712000000000051e-01,1.305182300000000017e+00,1.267595000000000027e+00,0.000000000000000000e+00,8.370850016575377417e-01,1.069700425352818174e+00
6.358304999999999652e-01,5.981419700000000228e-01,2.021044499999999911e+00,2.027200199999999786e+00,0.000000000000000000e+00,7.824842234831319576e-01,1.347913795463196562e+00
5.450426000000000437e-01,5.069187000000000554e-01,1.340155800000000008e+00,1.291515600000000097e+00,0.000000000000000000e+00,7.170014853541099020e-01,1.077602895319050180e+00
2.582089599999999874e-01,2.845385699999999907e-01,2.486870800000000159e+00,2.586080799999999957e+00,0.000000000000000000e+00,4.795064545968072967e-01,1.511563462114640988e+00
8.204700999999999800e-01,8.464638599999999569e-01,2.745447599999999877e+00,2.512436000000000114e+00,0.000000000000000000e+00,8.964643606970664758e-01,1.588146750146220088e+00
