pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
1.474153800000000070e+00,1.449630699999999939e+00,8.733266600000000324e-02,8.017183999999999422e-02,0.000000000000000000e+00,1.997505018767161897e-02,1.202500353430301441e-02
7.427390000000000381e-01,8.422986000000000084e-01,4.025627700000000142e-01,4.104789200000000249e-01,0.000000000000000000e+00,4.337939372559280332e-02,4.462205732594587415e-02
7.606186000000000336e-01,7.566300599999999932e-01,6.951878000000000224e-02,4.810791999999999846e-02,0.000000000000000000e+00,1.361275247699744208e-02,2.137972591031045075e-02
6.661559999999999704e-01,6.620013000000000147e-01,1.029797800000000069e-01,8.902179400000000131e-02,0.000000000000000000e+00,1.513271885683468293e-02,2.546784914357708499e-02
1.316182600000000091e+00,1.305740700000000087e+00,1.645668899999999935e-01,1.835730399999999929e-01,0.000000000000000000e+00,3.351904831584572031e-02,2.413775610946469058e-02
1.206313100000000027e+00,1.091985599999999890e+00,3.075916000000000206e-01,2.623129000000000155e-01,0.000000000000000000e+00,5.955557152777563729e-02,4.372183893662296567e-02
8.401028999999999858e-01,8.570037999999999823e-01,2.623525600000000124e-01,2.440750899999999945e-01,0.000000000000000000e+00,3.282695386416473182e-02,3.855681522117717502e-02
3.713110700000000208e-01,3.707978000000000107e-01,8.946904499999999705e-02,7.559714500000000448e-02,0.000000000000000000e+00,1.450161301373057571e-02,2.905722887682168562e-02
1.547426299999999921e-01,1.442940000000000056e-01,2.335648999999999920e-01,4.734649000000000219e-01,0.000000000000000000e+00,1.094810138791196992e-02,1.136186736412637399e-01
1.241794599999999971e+00,1.202824200000000010e+00,3.175857400000000053e-01,2.568322699999999736e-01,0.000000000000000000e+00,6.839714687031908658e-02,4.808139349062171691e-02
5.510521499999999628e-01,5.318262999999999741e-01,2.438651199999999908e-01,2.239841399999999982e-01,0.000000000000000000e+00,2.082089167158793913e-02,3.317084864757005591e-02
2.524336600000000042e-01,2.468869099999999872e-01,4.457327700000000004e-01,4.777111399999999786e-01,0.000000000000000000e+00,1.673382203801630080e-02,7.762220236504500936e-02
1.481300199999999956e+00,1.447353399999999901e+00,2.863570200000000177e-01,2.585215299999999994e-01,0.000000000000000000e+00,8.390081048476230596e-02,4.659186195034493300e-02
2.786726400000000270e-01,2.989365999999999968e-01,3.487882600000000166e-01,3.299941000000000124e-01,0.000000000000000000e+00,1.682319232488293376e-02,6.468047850781563635e-02
3.141842499999999982e-01,3.178360499999999811e-01,3.182900799999999752e-01,3.688748499999999764e-01,0.000000000000000000e+00,1.834004007629209260e-02,5.338595882814131666e-02
3.913763000000000103e-01,3.918998799999999783e-01,3.618131600000000225e-01,3.822000600000000081e-01,0.000000000000000000e+00,2.232521444465875721e-02,4.611921508438755063e-02
9.021508000000000305e-01,8.849447400000000075e-01,3.002833400000000097e-01,3.134187500000000237e-01,0.000000000000000000e+00,3.786974782065494899e-02,3.981560749253990755e-02
1.796037799999999907e+00,1.782011500000000082e+00,1.513307200000000019e-01,1.393573700000000082e-01,0.000000000000000000e+00,4.015845614562392474e-02,2.595191707754939542e-02
1.606044699999999992e+00,1.564328399999999952e+00,3.492663999999999769e-01,3.143622999999999834e-01,0.000000000000000000e+00,9.201722121429227463e-02,5.046383556568010548e-02
1.815949700000000000e+00,1.775948800000000105e+00,3.381893599999999944e-01,2.964251999999999998e-01,0.000000000000000000e+00,9.452115636194893811e-02,5.844677920980761998e-02
3.046075699999999942e-01,2.826931999999999778e-01,1.422347099999999864e-01,8.627619999999999734e-02,0.000000000000000000e+00,1.278975058396370802e-02,4.690380581573311974e-02
1.050666000000000100e+00,1.061606999999999967e+00,7.974978500000000359e-02,6.655086600000000019e-02,0.000000000000000000e+00,1.640470542253045019e-02,1.361394064920219867e-02
1.611876400000000098e+00,1.627387899999999998e+00,1.920570000000000055e-01,2.187788300000000075e-01,0.000000000000000000e+00,4.662979305122423590e-02,3.200320140235973082e-02
8.922782000000000213e-01,9.052344599999999630e-01,7.805307999999999691e-02,8.070148000000000599e-02,0.000000000000000000e+00,1.632841388500426427e-02,2.256213066179699189e-02
1.502044300000000110e+00,1.352305400000000102e+00,3.183381299999999969e-01,2.919699499999999781e-01,0.000000000000000000e+00,9.273574823119722088e-02,5.278188704470502396e-02
8.300810499999999870e-01,8.343629999999999658e-01,5.951759999999999690e-02,6.727895000000000403e-02,0.000000000000000000e+00,1.406727692199168968e-02,1.915109135271407872e-02
1.485810999999999993e+00,1.389743399999999962e+00,4.006700999999999735e-01,4.154161800000000238e-01,0.000000000000000000e+00,1.251898318554665879e-01,5.524477169832454210e-02
8.624188299999999696e-01,8.929548999999999959e-01,2.558868499999999990e-01,2.756334500000000021e-01,0.000000000000000000e+00,3.682776262549762591e-02,3.754224021019523377e-02
1.084147999999999890e+00,1.047818899999999998e+00,2.225023999999999891e-01,1.920897000000000021e-01,0.000000000000000000e+00,3.350421316789874843e-02,3.151746975884961444e-02
3.674271700000000251e-01,3.611384599999999945e-01,2.506481400000000193e-01,2.185898400000000075e-01,0.000000000000000000e+00,1.853407807256676060e-02,4.192796799273725700e-02
1.523320400000000019e+00,1.457410600000000001e+00,3.344168699999999772e-01,3.780164699999999933e-01,0.000000000000000000e+00,9.255256344369938715e-02,5.699561562085280614e-02
1.465149599999999941e+00,1.369497200000000081e+00,4.149452699999999772e-01,4.320237000000000105e-01,0.000000000000000000e+00,1.360425154133809711e-01,5.004511764398201362e-02
6.907391000000000503e-01,6.779732000000000536e-01,3.503606300000000062e-01,3.747666000000000053e-01,0.000000000000000000e+00,3.531889862382461137e-02,4.197539636501363552e-02
1.384154700000000071e+00,1.361150400000000094e+00,3.457001699999999733e-01,3.652988400000000135e-01,0.000000000000000000e+00,8.828254074277654129e-02,5.095308332181675004e-02
1.811250199999999921e+00,1.713278300000000032e+00,2.970374199999999965e-01,2.904487800000000175e-01,0.000000000000000000e+00,8.404465122778485842e-02,5.292292319968729813e-02
