pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
1.478828199999999926e+00,1.449630699999999939e+00,8.983715000000000450e-02,8.017183999999999422e-02,0.000000000000000000e+00,1.206919549928660240e+00,2.735293220113704793e-01
7.464423000000000030e-01,8.422986000000000084e-01,4.147933699999999946e-01,4.104789200000000249e-01,0.000000000000000000e+00,8.324281951015354286e-01,6.098198914433671236e-01
7.678093999999999753e-01,7.566300599999999932e-01,6.809049999999999825e-02,4.810791999999999846e-02,0.000000000000000000e+00,8.659739892167662711e-01,2.177670819935832169e-01
6.697506300000000135e-01,6.620013000000000147e-01,9.766737999999999809e-02,8.902179400000000131e-02,0.000000000000000000e+00,8.082729922495245356e-01,2.724288457560983256e-01
1.306525799999999959e+00,1.305740700000000087e+00,1.645703799999999883e-01,1.835730399999999929e-01,0.000000000000000000e+00,1.127584497942393682e+00,3.766371861619614014e-01
1.195654900000000076e+00,1.091985599999999890e+00,3.112509299999999812e-01,2.623129000000000155e-01,0.000000000000000000e+00,1.067819273098215005e+00,5.104800975552328257e-01
8.546734999999999749e-01,8.570037999999999823e-01,2.630975799999999976e-01,2.440750899999999945e-01,0.000000000000000000e+00,9.059790505304192720e-01,4.744710317817095180e-01
3.751477999999999757e-01,3.707978000000000107e-01,8.337828999999999380e-02,7.559714500000000448e-02,0.000000000000000000e+00,6.003524797983265104e-01,2.352714241041610199e-01
1.642602099999999898e-01,1.442940000000000056e-01,2.246968299999999863e-01,4.734649000000000219e-01,0.000000000000000000e+00,3.884944015040628917e-01,3.468802963559619590e-01
1.253903500000000060e+00,1.202824200000000010e+00,3.054962500000000247e-01,2.568322699999999736e-01,0.000000000000000000e+00,1.091528836082675369e+00,5.128836710210220584e-01
5.504741699999999849e-01,5.318262999999999741e-01,2.314001900000000056e-01,2.239841399999999982e-01,0.000000000000000000e+00,7.268549855370052271e-01,4.389789630494837502e-01
2.576724300000000079e-01,2.468869099999999872e-01,4.400908399999999832e-01,4.777111399999999786e-01,0.000000000000000000e+00,4.807889661795494707e-01,6.010905339464264197e-01
1.502224299999999957e+00,1.447353399999999901e+00,2.827059000000000100e-01,2.585215299999999994e-01,0.000000000000000000e+00,1.194776924785543315e+00,4.860968319172631613e-01
2.856493600000000188e-01,2.989365999999999968e-01,3.446498000000000062e-01,3.299941000000000124e-01,0.000000000000000000e+00,5.182807347374586149e-01,5.276820444169006974e-01
3.105915799999999782e-01,3.178360499999999811e-01,3.109651999999999972e-01,3.688748499999999764e-01,0.000000000000000000e+00,5.422631741138245198e-01,5.059205273558289306e-01
4.033147400000000049e-01,3.918998799999999783e-01,3.742039200000000232e-01,3.822000600000000081e-01,0.000000000000000000e+00,6.126043911040794931e-01,5.711278928576331015e-01
9.067789299999999830e-01,8.849447400000000075e-01,2.929334599999999789e-01,3.134187500000000237e-01,0.000000000000000000e+00,9.317282865728613306e-01,5.002906155426063428e-01
1.795888699999999893e+00,1.782011500000000082e+00,1.495020400000000027e-01,1.393573700000000082e-01,0.000000000000000000e+00,1.321027062553981057e+00,3.565516933068751948e-01
1.625729699999999944e+00,1.564328399999999952e+00,3.552745600000000170e-01,3.143622999999999834e-01,0.000000000000000000e+00,1.229293130217524732e+00,5.395575965548070618e-01
1.817094800000000010e+00,1.775948800000000105e+00,3.172105599999999748e-01,2.964251999999999998e-01,0.000000000000000000e+00,1.311779173489196815e+00,5.160007267436742540e-01
