pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
9.580794599999999939e-01,9.587244400000000111e-01,1.367096199999999984e+00,1.008346699999999929e+00,0.000000000000000000e+00,1.876698004474880790e-02,1.629522414697018029e-01
5.823195599999999583e-01,5.864169000000000187e-01,3.616957000000000200e+00,3.642753599999999814e+00,0.000000000000000000e+00,5.647409406090548277e-03,2.393722331432783512e-01
1.314226799999999862e-01,1.513436700000000135e-01,2.478964599999999852e+00,2.835576800000000119e+00,0.000000000000000000e+00,1.289591757107651400e-02,1.987973842886268938e-01
3.347531599999999941e-01,3.351888000000000090e-01,3.883264500000000119e+00,3.773252199999999945e+00,0.000000000000000000e+00,4.635239368144863752e-03,2.494608586532163774e-01
3.212405999999999873e-01,3.326206199999999780e-01,1.826703500000000036e+00,1.661104399999999925e+00,0.000000000000000000e+00,1.703832562196180150e-02,1.755625216269121602e-01
6.941196299999999875e-01,6.700135999999999870e-01,2.280840599999999885e+00,2.213381000000000043e+00,0.000000000000000000e+00,1.190973005571494860e-02,1.855556250831539578e-01
9.924779000000000240e-01,9.891315000000000524e-01,3.868670999999999971e+00,3.797911000000000037e+00,0.000000000000000000e+00,5.249279188612471052e-03,2.814009310574505096e-01
3.821079000000000003e-01,3.734941500000000247e-01,2.226059199999999905e+00,2.033053999999999917e+00,0.000000000000000000e+00,1.276087771275941606e-02,1.853421700531209526e-01
3.084649400000000208e-01,2.647109300000000109e-01,1.314128799999999986e+00,1.129927899999999985e+00,0.000000000000000000e+00,2.491349032151055423e-02,1.638586586055189309e-01
4.948431799999999936e-01,4.823732399999999809e-01,2.251952399999999965e+00,1.996585499999999902e+00,0.000000000000000000e+00,1.220479127228319208e-02,1.868062365125961188e-01
8.250762000000000373e-01,8.405862499999999793e-01,2.239269300000000129e+00,2.434818700000000113e+00,0.000000000000000000e+00,1.183054478880833302e-02,1.817241315841129634e-01
1.000170199999999898e+00,9.972467000000000414e-01,1.491894499999999901e+00,1.481226200000000048e+00,0.000000000000000000e+00,1.764705641176454037e-02,1.717899385877997287e-01
7.475821400000000061e-01,7.756712000000000051e-01,1.300569700000000051e+00,1.267595000000000027e+00,0.000000000000000000e+00,2.135018899213774954e-02,1.611340497846436015e-01
6.058501600000000265e-01,5.981419700000000228e-01,2.002535299999999907e+00,2.027200199999999786e+00,0.000000000000000000e+00,1.419431646822065171e-02,1.792158586732769954e-01
5.290340000000000042e-01,5.069187000000000554e-01,1.375296400000000085e+00,1.291515600000000097e+00,0.000000000000000000e+00,2.082387427929778892e-02,1.610556736038814551e-01
2.817011999999999849e-01,2.845385699999999907e-01,2.436985500000000027e+00,2.586080799999999957e+00,0.000000000000000000e+00,1.186388932854651884e-02,1.945921786711891366e-01
8.419955399999999868e-01,8.464638599999999569e-01,2.655958000000000041e+00,2.512436000000000114e+00,0.000000000000000000e+00,9.529145292207481452e-03,1.975029189657712403e-01
2.838896200000000092e-01,2.766614299999999860e-01,1.512303500000000023e+00,1.629174099999999958e+00,0.000000000000000000e+00,2.202759746318240855e-02,1.691538826039769017e-01
1.955862299999999998e-01,2.039599099999999943e-01,2.494629600000000114e+00,2.491682799999999975e+00,0.000000000000000000e+00,1.213661072952412073e-02,1.979857898941234651e-01
9.207497000000000043e-01,9.174691999999999847e-01,1.601193899999999948e+00,1.635105800000000054e+00,0.000000000000000000e+00,1.651338790194186584e-02,1.682758687394006469e-01
5.137855999999999534e-01,5.246815000000000229e-01,2.603405700000000156e+00,2.566422699999999946e+00,0.000000000000000000e+00,1.022097431754918385e-02,2.034723715888719919e-01
9.819572600000000540e-01,9.882917399999999741e-01,3.449764699999999795e+00,3.772067999999999977e+00,0.000000000000000000e+00,6.321086299047024189e-03,2.536228104883312962e-01
3.874623500000000109e-01,4.026218400000000086e-01,1.701339399999999946e+00,1.802760600000000046e+00,0.000000000000000000e+00,1.821163968455339136e-02,1.719409113620141427e-01
5.197578699999999552e-01,5.295259399999999728e-01,3.709840799999999827e+00,3.946642399999999995e+00,0.000000000000000000e+00,5.263355108673554474e-03,2.466365341955648049e-01
6.267629000000000117e-01,6.233071000000000028e-01,2.292154299999999978e+00,2.649936700000000034e+00,0.000000000000000000e+00,1.191658550088908579e-02,1.880141909537681733e-01
6.157698600000000022e-01,6.095071399999999473e-01,2.004233600000000060e+00,1.598828600000000044e+00,0.000000000000000000e+00,1.462963806797693868e-02,1.835280360054016291e-01
5.053606999999999960e-01,5.055631000000000430e-01,3.950492000000000115e+00,3.940513800000000177e+00,0.000000000000000000e+00,4.510735527605226093e-03,2.581157492289070099e-01
9.552104999999999624e-01,9.579693700000000423e-01,3.507481299999999802e+00,3.452355600000000191e+00,0.000000000000000000e+00,6.055482887433503471e-03,2.494153924680672096e-01
3.438871000000000011e-01,3.460484699999999969e-01,3.006826000000000221e+00,3.556531399999999898e+00,0.000000000000000000e+00,8.085264992565179346e-03,2.147071400768963689e-01
5.681931999999999539e-01,5.593355300000000252e-01,1.709486499999999909e+00,1.606009500000000090e+00,0.000000000000000000e+00,1.654625939600851137e-02,1.688958850890097951e-01
2.984493400000000074e-01,3.208435199999999932e-01,1.503061299999999934e+00,1.616668299999999947e+00,0.000000000000000000e+00,2.146563136737422023e-02,1.666530107738831146e-01
3.013699699999999870e-01,2.752331499999999820e-01,1.249740700000000038e+00,1.132154499999999953e+00,0.000000000000000000e+00,2.601363104220554348e-02,1.605790303869094882e-01
1.246365759999999989e-01,1.227292600000000067e-01,3.574905400000000011e+00,3.658832299999999815e+00,0.000000000000000000e+00,6.336688093949393447e-03,2.383263183116795525e-01
4.341083000000000025e-01,4.313198599999999994e-01,1.658376499999999920e+00,1.606500500000000109e+00,0.000000000000000000e+00,1.834455259743338756e-02,1.694981710815783305e-01
3.738446999999999742e-01,3.754725800000000002e-01,3.427443499999999865e+00,3.265654300000000010e+00,0.000000000000000000e+00,6.389359435812012183e-03,2.368878131099191875e-01
9.589938000000000073e-01,9.712648400000000182e-01,1.788687499999999986e+00,1.676452400000000065e+00,0.000000000000000000e+00,1.454740939136587273e-02,1.750486360986568679e-01
8.140895000000000215e-01,8.098965999999999665e-01,3.689903000000000155e+00,3.555694599999999816e+00,0.000000000000000000e+00,6.002303724404489151e-03,2.407825471249940841e-01
5.194537599999999866e-01,5.240641000000000327e-01,1.907629699999999984e+00,1.889510500000000093e+00,0.000000000000000000e+00,1.537265299159517110e-02,1.792680116473655827e-01
9.372169000000000194e-01,9.437113000000000307e-01,2.539924000000000071e+00,2.333258999999999972e+00,0.000000000000000000e+00,9.910459424264850617e-03,2.037793905182759269e-01
1.113936499999999968e-01,1.234247759999999999e-01,2.233231299999999919e+00,2.687237999999999793e+00,0.000000000000000000e+00,1.523440087433700248e-02,1.873860000106731538e-01
9.463898499999999769e-01,9.265930700000000186e-01,1.420432399999999928e+00,1.290030699999999975e+00,0.000000000000000000e+00,1.888376710299086506e-02,1.671264790510468556e-01
3.934928500000000051e-01,3.956568500000000044e-01,3.625206499999999998e+00,3.987222399999999833e+00,0.000000000000000000e+00,5.537792249624393787e-03,2.419406414805085892e-01
3.829138999999999737e-01,3.817246000000000250e-01,2.219082799999999800e+00,2.444332100000000008e+00,0.000000000000000000e+00,1.305768853970717090e-02,1.868648977202513606e-01
5.823357700000000303e-01,5.969419999999999726e-01,1.841973199999999977e+00,1.525315500000000046e+00,0.000000000000000000e+00,1.559148966584014348e-02,1.741905450935842259e-01
6.412368999999999986e-01,6.300592400000000204e-01,2.249703600000000137e+00,2.217640199999999950e+00,0.000000000000000000e+00,1.236701782969524058e-02,1.867280803735742456e-01
9.614084000000000518e-01,9.424993400000000188e-01,1.311573499999999948e+00,1.340296099999999990e+00,0.000000000000000000e+00,1.908633804583791810e-02,1.617854752442257904e-01
6.238032599999999706e-01,5.952659999999999618e-01,1.676621300000000092e+00,1.813805799999999913e+00,0.000000000000000000e+00,1.745814938646132741e-02,1.707018629072336868e-01
2.536066499999999890e-01,1.852903399999999978e-01,1.128823600000000038e+00,1.167718500000000104e+00,0.000000000000000000e+00,2.863024205276651010e-02,1.588647569475369892e-01
4.379702799999999896e-01,4.183643000000000223e-01,1.184332500000000010e+00,1.216672699999999940e+00,0.000000000000000000e+00,2.509325606612262602e-02,1.581769262566446455e-01
1.183762849999999978e-01,1.329198799999999903e-01,2.662758999999999876e+00,2.511700600000000172e+00,0.000000000000000000e+00,1.148509251159954628e-02,2.037063081988380597e-01
1.495896899999999974e-01,1.481847900000000107e-01,3.671018999999999810e+00,3.871897500000000214e+00,0.000000000000000000e+00,5.852991969924442074e-03,2.403613113627066367e-01
6.181254400000000260e-01,6.211883999999999739e-01,3.320908499999999819e+00,2.955304899999999790e+00,0.000000000000000000e+00,6.643550782525862487e-03,2.242901313031850641e-01
4.603586499999999804e-01,4.855906400000000178e-01,1.662247800000000053e+00,1.717923199999999984e+00,0.000000000000000000e+00,1.771034725802969612e-02,1.668930765490288515e-01
7.049755500000000064e-01,7.039633400000000485e-01,3.013342900000000046e+00,3.236344799999999911e+00,0.000000000000000000e+00,7.872946081359886300e-03,2.081734853433548915e-01
1.831277600000000005e-01,1.938187500000000119e-01,1.506154800000000016e+00,1.397526100000000104e+00,0.000000000000000000e+00,2.295158251624493037e-02,1.663042092071033429e-01
2.466542599999999863e-01,2.461882499999999974e-01,2.336253399999999925e+00,2.168185699999999994e+00,0.000000000000000000e+00,1.311131648615042854e-02,1.927588311854997738e-01
2.217580700000000016e-01,2.191683000000000103e-01,3.239492199999999933e+00,3.498847500000000110e+00,0.000000000000000000e+00,7.422041026564054657e-03,2.246745958046881542e-01
9.317805999999999589e-01,9.333561700000000405e-01,1.925415300000000052e+00,1.812380700000000067e+00,0.000000000000000000e+00,1.408917918120143782e-02,1.801192244042817414e-01
6.053336000000000272e-01,6.084884000000000404e-01,3.917579200000000039e+00,3.982873699999999850e+00,0.000000000000000000e+00,4.857781592455551883e-03,2.525449068977634326e-01
8.074211999999999501e-01,8.015287500000000120e-01,3.850251200000000207e+00,3.846541000000000210e+00,0.000000000000000000e+00,5.435714212502345925e-03,2.467450040021073876e-01
1.825968299999999878e-01,1.841181000000000068e-01,1.566268400000000005e+00,1.831946300000000027e+00,0.000000000000000000e+00,2.276912756343553793e-02,1.701629953897144942e-01
6.446043000000000189e-01,6.739967500000000333e-01,1.948734600000000095e+00,1.638954199999999917e+00,0.000000000000000000e+00,1.453700209809436622e-02,1.769637929069107496e-01
1.126979899999999979e-01,1.044986100000000057e-01,2.990047199999999794e+00,2.974714500000000150e+00,0.000000000000000000e+00,9.410590842237271172e-03,2.154137507217215586e-01
1.343468300000000004e-01,1.411276900000000001e-01,3.122673300000000207e+00,3.401279000000000163e+00,0.000000000000000000e+00,8.368016491379543648e-03,2.200758551045525202e-01
8.128334000000000392e-01,8.094036999999999482e-01,3.400461200000000073e+00,3.484182600000000019e+00,0.000000000000000000e+00,6.510179874627121215e-03,2.240779395656787853e-01
9.127305000000000001e-01,8.975794999999999746e-01,3.042146699999999981e+00,2.675804100000000130e+00,0.000000000000000000e+00,7.373004611418603957e-03,2.149490102326596097e-01
3.294212799999999830e-01,3.257980600000000004e-01,3.404990699999999926e+00,3.240408700000000142e+00,0.000000000000000000e+00,6.401951108841741518e-03,2.332500718113501570e-01
4.814736000000000016e-01,5.084317299999999706e-01,2.053385500000000086e+00,2.008144999999999847e+00,0.000000000000000000e+00,1.375917366704846809e-02,1.783294787745424992e-01
6.704392399999999919e-01,6.502082300000000536e-01,1.563639400000000013e+00,1.450518299999999927e+00,0.000000000000000000e+00,1.801329786574351957e-02,1.646958894447581589e-01
5.281323999999999463e-01,5.206694600000000284e-01,3.382741699999999963e+00,3.017303200000000185e+00,0.000000000000000000e+00,6.332939443891754186e-03,2.309515966604258064e-01
2.484699999999999964e-01,2.434053599999999873e-01,3.438193300000000008e+00,3.260771999999999782e+00,0.000000000000000000e+00,6.567013552597558007e-03,2.330997340195822831e-01
5.874979999999999647e-01,5.899103999999999459e-01,1.852923600000000004e+00,1.701222400000000023e+00,0.000000000000000000e+00,1.538021846398808512e-02,1.740759259633565814e-01
8.553450000000000220e-01,8.430201400000000289e-01,1.603474999999999984e+00,1.598937499999999901e+00,0.000000000000000000e+00,1.687567391246939247e-02,1.667161060005901141e-01
8.182167999999999664e-01,8.265081600000000472e-01,2.195439299999999871e+00,2.518189700000000197e+00,0.000000000000000000e+00,1.228725966194252686e-02,1.822469752835420842e-01
3.601975700000000224e-01,3.609124400000000010e-01,3.274311500000000041e+00,3.178152299999999819e+00,0.000000000000000000e+00,6.934136211526277863e-03,2.267527728606642812e-01
8.271467700000000312e-01,8.309263599999999750e-01,3.744299999999999962e+00,3.830150999999999861e+00,0.000000000000000000e+00,5.663016863827971710e-03,2.437599023629604400e-01
9.660241600000000206e-01,9.646966000000000152e-01,3.800879000000000119e+00,3.669836999999999794e+00,0.000000000000000000e+00,5.387997772828047489e-03,2.711968842003904534e-01
2.419040799999999936e-01,2.016089600000000037e-01,1.120126699999999920e+00,1.279928799999999978e+00,0.000000000000000000e+00,2.921888772694812911e-02,1.586051638503614414e-01
9.358262999999999998e-01,9.564394999999999980e-01,1.453720099999999960e+00,1.668953499999999979e+00,0.000000000000000000e+00,1.824809140704857294e-02,1.647041013454127734e-01
2.320122900000000099e-01,2.227716100000000088e-01,1.860245799999999949e+00,1.937753000000000059e+00,0.000000000000000000e+00,1.790658258853430884e-02,1.786019876709103171e-01
9.766255600000000037e-01,9.848640600000000411e-01,1.428325800000000090e+00,1.030597999999999903e+00,0.000000000000000000e+00,1.754140587296240672e-02,1.648100907104901869e-01
6.791890999999999901e-01,6.898436500000000304e-01,3.041291999999999884e+00,2.816620299999999855e+00,0.000000000000000000e+00,8.088319355712903641e-03,2.168976025685853404e-01
1.792365900000000012e-01,2.019120899999999885e-01,1.540114999999999901e+00,1.576856999999999953e+00,0.000000000000000000e+00,2.223034322721986408e-02,1.657160010379203074e-01
2.414586699999999864e-01,2.406910999999999912e-01,2.969798799999999961e+00,2.860774800000000173e+00,0.000000000000000000e+00,8.729439844571930049e-03,2.127216091514917140e-01
1.086008549999999961e-01,1.031719599999999931e-01,2.522700500000000012e+00,2.654168799999999884e+00,0.000000000000000000e+00,1.238438977099800414e-02,1.953590156609108230e-01
4.898473999999999884e-01,4.956066599999999767e-01,2.617950700000000186e+00,2.531380400000000197e+00,0.000000000000000000e+00,1.007081054334754179e-02,2.020089502967628292e-01
2.060799700000000012e-01,1.908460399999999946e-01,2.616136800000000040e+00,2.572065600000000174e+00,0.000000000000000000e+00,1.116609645310302767e-02,2.017124735855470030e-01
4.103898400000000057e-01,4.138181200000000115e-01,2.883039000000000129e+00,2.697223699999999891e+00,0.000000000000000000e+00,8.489124218669437394e-03,2.093442069893504398e-01
7.002791999999999906e-01,7.189622500000000249e-01,1.129710299999999945e+00,1.187909199999999998e+00,0.000000000000000000e+00,2.365619242397220753e-02,1.561074950154540120e-01
8.268208000000000224e-01,8.133970000000000367e-01,1.589272000000000018e+00,1.415316100000000077e+00,0.000000000000000000e+00,1.744275780947496940e-02,1.670144484767710213e-01
4.875714999999999910e-01,4.865554999999999741e-01,2.831194899999999848e+00,3.037962400000000063e+00,0.000000000000000000e+00,8.643991554831599242e-03,2.082165315242764381e-01
1.281778799999999940e-01,1.256696099999999872e-01,2.122920300000000093e+00,2.256411799999999968e+00,0.000000000000000000e+00,1.594497632484915411e-02,1.829304676646293371e-01
8.778842000000000034e-01,8.332914000000000154e-01,1.150339400000000012e+00,1.192658100000000054e+00,0.000000000000000000e+00,2.263756833230989862e-02,1.597540202937002829e-01
4.967799199999999860e-01,4.997852700000000037e-01,3.487676399999999788e+00,3.471889299999999956e+00,0.000000000000000000e+00,5.785837623023998982e-03,2.311628516868573235e-01
8.556610300000000446e-01,8.571750000000000203e-01,4.121445699999999768e+00,3.999993299999999863e+00,0.000000000000000000e+00,4.856093079832798920e-03,2.653744524252475978e-01
5.083349999999999813e-01,5.118198400000000259e-01,1.358820300000000092e+00,1.360705099999999890e+00,0.000000000000000000e+00,2.129853516089780241e-02,1.604935201184147509e-01
5.099166600000000216e-01,5.059420999999999502e-01,2.560021400000000114e+00,2.465867999999999949e+00,0.000000000000000000e+00,1.021901071532856260e-02,1.983448663313472360e-01
8.933705699999999750e-01,8.888951999999999964e-01,3.290633399999999931e+00,3.078856699999999780e+00,0.000000000000000000e+00,6.772929720586210074e-03,2.249711759314957371e-01
1.702068899999999996e-01,1.774639600000000039e-01,2.989303000000000043e+00,2.659186800000000073e+00,0.000000000000000000e+00,9.286517646566985057e-03,2.181752964934389472e-01
5.558595699999999695e-01,5.463613999999999971e-01,2.916535000000000100e+00,2.714990100000000073e+00,0.000000000000000000e+00,8.198410577666868926e-03,2.101181144023522851e-01
5.807636000000000465e-01,5.891825000000000534e-01,2.778108800000000045e+00,2.658089200000000041e+00,0.000000000000000000e+00,9.205302276405702422e-03,2.053807926754593061e-01
8.864525599999999450e-01,8.892113999999999852e-01,2.075157599999999825e+00,1.925330999999999904e+00,0.000000000000000000e+00,1.260253625267549089e-02,1.798149048327195854e-01
9.568524400000000263e-01,9.387590000000000101e-01,1.997868200000000094e+00,1.853302199999999900e+00,0.000000000000000000e+00,1.321289332432529738e-02,1.841149369279961590e-01
8.834505999999999748e-01,8.794368000000000185e-01,2.280588900000000141e+00,2.281556000000000139e+00,0.000000000000000000e+00,1.114352323100732851e-02,1.849792150486102571e-01
3.790891800000000256e-01,3.831998699999999980e-01,3.689269799999999933e+00,3.707766799999999918e+00,0.000000000000000000e+00,5.512658251696726103e-03,2.481038290716207351e-01
5.839944999999999720e-01,5.964128400000000552e-01,3.398870000000000058e+00,3.632745299999999844e+00,0.000000000000000000e+00,6.318386186361197795e-03,2.298563464427293146e-01
2.719427999999999845e-01,2.723032000000000230e-01,3.130365999999999982e+00,3.175946699999999900e+00,0.000000000000000000e+00,7.757217155655757659e-03,2.186700711117093021e-01
5.116363999999999912e-01,5.097179400000000360e-01,2.759737499999999955e+00,2.545226599999999895e+00,0.000000000000000000e+00,9.128401283905084734e-03,2.071532403801591427e-01
4.384916400000000158e-01,4.371513399999999994e-01,2.766471399999999914e+00,2.877579700000000074e+00,0.000000000000000000e+00,9.166059131382471581e-03,2.055203712530706828e-01
8.633262000000000436e-01,8.697411000000000447e-01,3.263673300000000221e+00,3.592625099999999794e+00,0.000000000000000000e+00,6.716154777847217414e-03,2.189058473408145300e-01
3.656196999999999919e-01,3.762014499999999928e-01,3.110067599999999821e+00,2.839369299999999985e+00,0.000000000000000000e+00,7.416257142251744122e-03,2.167533275407784732e-01
7.607363999999999793e-01,7.322902999999999496e-01,1.499572899999999986e+00,1.465182200000000101e+00,0.000000000000000000e+00,1.869956737467473942e-02,1.632584331665595800e-01
6.525277999999999912e-01,6.423488000000000531e-01,2.412642700000000140e+00,2.397364099999999887e+00,0.000000000000000000e+00,1.113067832613987701e-02,1.912497163396589261e-01
6.329856000000000371e-01,6.292699600000000171e-01,3.670499599999999862e+00,3.799977999999999856e+00,0.000000000000000000e+00,5.622823312180456716e-03,2.425871060052450512e-01
6.411170999999999953e-01,6.445794000000000246e-01,1.881019699999999961e+00,2.103708000000000133e+00,0.000000000000000000e+00,1.518629842983470341e-02,1.743965509980056894e-01
4.055200800000000050e-01,4.236355399999999771e-01,1.814671900000000004e+00,1.592001699999999964e+00,0.000000000000000000e+00,1.645982867468552893e-02,1.731070218102084834e-01
1.370230600000000021e-01,1.036459500000000006e-01,1.539702200000000021e+00,1.582360100000000047e+00,0.000000000000000000e+00,2.354697432792586878e-02,1.681073912711752161e-01
4.194849999999999968e-01,4.362905000000000255e-01,2.292561500000000141e+00,2.372940499999999897e+00,0.000000000000000000e+00,1.224926610046495924e-02,1.899053553747234446e-01
6.460346599999999828e-01,6.535188600000000347e-01,2.887007999999999797e+00,2.925834000000000046e+00,0.000000000000000000e+00,8.487764428870538114e-03,2.069443475913270714e-01
1.562852600000000092e-01,1.647014300000000098e-01,3.227603000000000222e+00,3.196949000000000041e+00,0.000000000000000000e+00,8.001977005715525670e-03,2.271699650041791863e-01
6.555229000000000195e-01,6.496495599999999593e-01,3.135548000000000002e+00,2.926366300000000198e+00,0.000000000000000000e+00,7.608779468482445088e-03,2.191275245148358863e-01
9.218982999999999484e-01,8.885973700000000530e-01,1.875734000000000012e+00,1.665178999999999965e+00,0.000000000000000000e+00,1.418897142149493605e-02,1.761469642088673571e-01
2.697037500000000199e-01,2.680990400000000107e-01,3.254263400000000139e+00,3.128136000000000028e+00,0.000000000000000000e+00,7.234246747243281740e-03,2.254900663000478922e-01
9.153154500000000304e-01,9.211468000000000433e-01,3.382872299999999832e+00,3.315854799999999880e+00,0.000000000000000000e+00,6.585756068971883662e-03,2.378667526158290135e-01
1.065048299999999948e-01,1.046204599999999985e-01,3.231168700000000005e+00,3.304209999999999869e+00,0.000000000000000000e+00,7.961437056210392271e-03,2.237122325667507960e-01
7.264000000000000457e-01,7.236181999999999892e-01,3.997019299999999831e+00,3.602856599999999965e+00,0.000000000000000000e+00,4.631386401500094813e-03,2.412937877360293859e-01
8.304894000000000442e-01,8.270343999999999474e-01,3.851793499999999870e+00,3.668372199999999861e+00,0.000000000000000000e+00,5.569237829362290101e-03,2.525776217324092188e-01
1.887747600000000137e-01,2.012081599999999970e-01,3.161567699999999981e+00,3.286868600000000029e+00,0.000000000000000000e+00,8.257372463441381427e-03,2.258346961828496258e-01
1.717924600000000079e-01,1.208514200000000011e-01,1.487411299999999992e+00,1.535577200000000087e+00,0.000000000000000000e+00,2.343682444359730319e-02,1.659649089416193601e-01
8.005978000000000261e-01,8.037615999999999650e-01,3.635917000000000066e+00,3.930822800000000061e+00,0.000000000000000000e+00,5.994086669376745037e-03,2.367701416986525420e-01
3.940522000000000191e-01,3.969252400000000125e-01,2.226725000000000065e+00,2.352006199999999936e+00,0.000000000000000000e+00,1.303405155736312056e-02,1.878353747301077514e-01
9.241035600000000461e-01,9.197246000000000032e-01,2.258280800000000088e+00,2.171093200000000056e+00,0.000000000000000000e+00,1.178195866568882387e-02,1.901366008952510844e-01
6.851842400000000000e-01,6.769315599999999877e-01,3.410020600000000179e+00,3.513365999999999989e+00,0.000000000000000000e+00,6.097940635985234573e-03,2.198380676770972653e-01
9.056620600000000465e-01,8.869299999999999962e-01,1.761868200000000106e+00,1.758859399999999962e+00,0.000000000000000000e+00,1.522458406656812362e-02,1.701152903180663534e-01
6.829207999999999945e-01,6.804575299999999771e-01,2.779543400000000108e+00,2.327283899999999850e+00,0.000000000000000000e+00,8.908561275537145788e-03,2.002824181000419090e-01
8.605996399999999991e-01,8.827975399999999917e-01,1.320648899999999903e+00,1.188695000000000057e+00,0.000000000000000000e+00,2.032688490644840584e-02,1.592692782679697994e-01
4.461215399999999831e-01,4.406169400000000125e-01,3.628458999999999879e+00,3.605342600000000175e+00,0.000000000000000000e+00,5.599033488022732256e-03,2.439612612690793547e-01
6.122182600000000141e-01,6.050033000000000216e-01,2.733023600000000108e+00,2.744052200000000052e+00,0.000000000000000000e+00,9.238434932389794074e-03,2.021317392197474749e-01
6.964918399999999732e-01,6.847843500000000416e-01,1.803311099999999945e+00,1.664447100000000068e+00,0.000000000000000000e+00,1.587079298585927431e-02,1.731185316481167469e-01
3.686166000000000165e-01,3.657740400000000225e-01,2.859912200000000126e+00,3.037009199999999964e+00,0.000000000000000000e+00,8.648835759800275330e-03,2.068172623356183959e-01
9.245721000000000078e-01,9.024984000000000339e-01,1.765042699999999964e+00,1.779118800000000000e+00,0.000000000000000000e+00,1.533999869621898056e-02,1.752729471424497865e-01
3.518826400000000243e-01,3.599476200000000237e-01,1.923854799999999976e+00,2.045326999999999895e+00,0.000000000000000000e+00,1.573738447137897067e-02,1.772067549502557848e-01
9.454562699999999875e-01,9.348438999999999499e-01,1.640380900000000031e+00,1.280407999999999991e+00,0.000000000000000000e+00,1.622380966357778523e-02,1.697671493546381027e-01
3.184404399999999913e-01,3.169190599999999747e-01,3.447453700000000065e+00,3.671856899999999868e+00,0.000000000000000000e+00,6.155174814739220769e-03,2.306688622246184373e-01
9.034079299999999701e-01,9.143805499999999586e-01,2.612467500000000165e+00,2.697867899999999874e+00,0.000000000000000000e+00,9.246402814067749762e-03,1.963370571237126327e-01
3.631299000000000055e-01,3.641143700000000205e-01,2.578665700000000172e+00,2.889306799999999953e+00,0.000000000000000000e+00,1.022423053339467647e-02,1.957839702324988551e-01
4.239415000000000266e-01,4.185387500000000149e-01,3.663588499999999915e+00,3.538971999999999785e+00,0.000000000000000000e+00,5.563547429473392897e-03,2.482850579475132380e-01
3.225856400000000068e-01,3.196369399999999805e-01,3.421044600000000102e+00,3.723536300000000132e+00,0.000000000000000000e+00,6.181265808877660188e-03,2.298141248922702662e-01
6.058594999999999953e-01,6.149885999999999964e-01,3.406090299999999793e+00,3.229931999999999803e+00,0.000000000000000000e+00,6.460529080501069797e-03,2.316832233891785164e-01
1.332085000000000075e-01,1.279256000000000004e-01,3.567085500000000131e+00,3.593969799999999992e+00,0.000000000000000000e+00,6.121284424040431514e-03,2.339143005461615521e-01
4.780596799999999869e-01,4.961079400000000250e-01,1.456432600000000077e+00,1.087962000000000096e+00,0.000000000000000000e+00,2.047697096740628761e-02,1.642908609752837257e-01
9.152955999999999870e-01,9.139032999999999740e-01,3.087586599999999848e+00,2.890399700000000127e+00,0.000000000000000000e+00,7.439264076506492233e-03,2.203600916681602850e-01
1.561993399999999921e-01,1.535882500000000095e-01,3.339693500000000093e+00,3.502853599999999901e+00,0.000000000000000000e+00,7.298556432610492882e-03,2.298488764384111482e-01
3.071877700000000266e-01,3.034733199999999909e-01,3.383283000000000040e+00,3.279892199999999924e+00,0.000000000000000000e+00,6.341769469162372719e-03,2.265698898794806793e-01
7.968682999999999739e-01,8.124552000000000440e-01,1.226428999999999991e+00,1.324773299999999931e+00,0.000000000000000000e+00,2.177473995252296804e-02,1.587588643194451643e-01
1.407365499999999880e-01,1.276527500000000093e-01,1.193278700000000025e+00,1.166534399999999971e+00,0.000000000000000000e+00,2.936171146237902610e-02,1.589361318265925249e-01
9.333656999999999648e-01,9.433139000000000385e-01,1.126707099999999961e+00,1.149992799999999926e+00,0.000000000000000000e+00,2.163117010242395638e-02,1.556540394593086130e-01
4.419436999999999949e-01,4.438146700000000222e-01,3.560484000000000204e+00,3.849340999999999902e+00,0.000000000000000000e+00,5.901256645834004021e-03,2.418062757663663465e-01
2.936397199999999930e-01,2.934920500000000043e-01,3.628198600000000162e+00,3.805392499999999956e+00,0.000000000000000000e+00,5.628032515897540659e-03,2.388717187111107088e-01
7.126347400000000443e-01,7.124058599999999464e-01,3.564467200000000169e+00,3.457404599999999828e+00,0.000000000000000000e+00,5.605300170374464229e-03,2.236983772851291741e-01
1.955054699999999868e-01,1.881679099999999938e-01,1.795931100000000002e+00,1.654940999999999995e+00,0.000000000000000000e+00,1.901453444079028582e-02,1.745480163164279674e-01
