pred_param1,truth_param1,pred_param2,truth_param2,loss_per_sample,pred_sigma1,pred_sigma2
9.624770999999999743e-01,9.587244400000000111e-01,1.454862600000000006e+00,1.008346699999999929e+00,0.000000000000000000e+00,9.684438238741573945e-01,1.142450786686236341e+00
5.807436999999999738e-01,5.864169000000000187e-01,3.678897599999999990e+00,3.642753599999999814e+00,0.000000000000000000e+00,7.545056924901228923e-01,1.869023274333414975e+00
1.381093300000000024e-01,1.513436700000000135e-01,2.459032999999999802e+00,2.835576800000000119e+00,0.000000000000000000e+00,3.548408234687773222e-01,1.499402014137636074e+00
3.448000299999999796e-01,3.351888000000000090e-01,3.826687000000000172e+00,3.773252199999999945e+00,0.000000000000000000e+00,5.754743608537221666e-01,1.910222892753617785e+00
3.162998599999999882e-01,3.326206199999999780e-01,1.771082199999999940e+00,1.661104399999999925e+00,0.000000000000000000e+00,5.454282445931820655e-01,1.267887573880271068e+00
6.899106499999999587e-01,6.700135999999999870e-01,2.297123200000000143e+00,2.213381000000000043e+00,0.000000000000000000e+00,8.219899026143813181e-01,1.448352650427374266e+00
9.735989600000000133e-01,9.891315000000000524e-01,3.825262299999999893e+00,3.797911000000000037e+00,0.000000000000000000e+00,9.808663007770223041e-01,1.908279460666073346e+00
3.785497500000000182e-01,3.734941500000000247e-01,2.184949200000000147e+00,2.033053999999999917e+00,0.000000000000000000e+00,6.043496504507965827e-01,1.410000709219679793e+00
3.075301300000000126e-01,2.647109300000000109e-01,1.311136199999999974e+00,1.129927899999999985e+00,0.000000000000000000e+00,5.330412366787394829e-01,1.084310472143472426e+00
4.972771400000000064e-01,4.823732399999999809e-01,2.243103699999999812e+00,1.996585499999999902e+00,0.000000000000000000e+00,6.955716785493785137e-01,1.427363933970590582e+00
8.255915600000000021e-01,8.405862499999999793e-01,2.273280000000000189e+00,2.434818700000000113e+00,0.000000000000000000e+00,8.991505435687618952e-01,1.444785105128094660e+00
9.552876999999999619e-01,9.972467000000000414e-01,1.438657499999999922e+00,1.481226200000000048e+00,0.000000000000000000e+00,9.646906550806844116e-01,1.136793956704555963e+00
7.367080499999999477e-01,7.756712000000000051e-01,1.338557999999999915e+00,1.267595000000000027e+00,0.000000000000000000e+00,8.422071004212681178e-01,1.099048679540628903e+00
5.927784400000000176e-01,5.981419700000000228e-01,2.109923000000000215e+00,2.027200199999999786e+00,0.000000000000000000e+00,7.606868278076069911e-01,1.382144131413218346e+00
5.424657000000000506e-01,5.069187000000000554e-01,1.400787800000000027e+00,1.291515600000000097e+00,0.000000000000000000e+00,7.206333325624065811e-01,1.118214067162455194e+00
2.857183200000000256e-01,2.845385699999999907e-01,2.506774699999999800e+00,2.586080799999999957e+00,0.000000000000000000e+00,5.237786078105901577e-01,1.519001448320573600e+00
8.532444000000000139e-01,8.464638599999999569e-01,2.708241699999999863e+00,2.512436000000000114e+00,0.000000000000000000e+00,9.170031079554746833e-01,1.580202138968302972e+00
2.961678200000000261e-01,2.766614299999999860e-01,1.462404500000000107e+00,1.629174099999999958e+00,0.000000000000000000e+00,5.249338815508102218e-01,1.143552141356046770e+00
1.995209199999999905e-01,2.039599099999999943e-01,2.483604999999999841e+00,2.491682799999999975e+00,0.000000000000000000e+00,4.326426123256931766e-01,1.509472755633568974e+00
9.276391000000000497e-01,9.174691999999999847e-01,1.567379999999999995e+00,1.635105800000000054e+00,0.000000000000000000e+00,9.508755964898878421e-01,1.190565537885252212e+00
5.210521999999999654e-01,5.246815000000000229e-01,2.546850399999999848e+00,2.566422699999999946e+00,0.000000000000000000e+00,7.140561952675713586e-01,1.528852837914755014e+00
9.813062999999999647e-01,9.882917399999999741e-01,3.523234099999999813e+00,3.772067999999999977e+00,0.000000000000000000e+00,9.855624282611425979e-01,1.821988089972050195e+00
3.954099999999999837e-01,4.026218400000000086e-01,1.730990599999999935e+00,1.802760600000000046e+00,0.000000000000000000e+00,6.135568188847713156e-01,1.252079989457542508e+00
5.160445000000000171e-01,5.295259399999999728e-01,3.771230699999999825e+00,3.946642399999999995e+00,0.000000000000000000e+00,7.106991627967490510e-01,1.894397212835787547e+00
