"Name","param_count","model.encoder.num_blocks","model.encoder.sequence_mixer.dim","train.lr.init_value","model.encoder.hidden_dim","model.heads","train/regression/param_1_l1_diff","train/regression/param_2_l1_diff","train/regression/param_3_magnitude","train/regression/param_4_magnitude","val/regression/param_1_l1_diff","val/regression/param_2_l1_diff","val/regression/param_3_magnitude","val/regression/param_4_magnitude","model.encoder.pass_through","model.encoder.sequence_mixer.transposed","output_dir","test/regression/param_1_l1_diff","test/regression/param_2_l1_diff","test/regression/param_3_magnitude","test/regression/param_4_magnitude","train/regression/q_loss_l1","train/regression/q_loss_mse","val/regression/q_loss_l1","val/regression/q_loss_mse"
"linoss_encoder/s4d/sine_gaussian","2766","4","64","0.005","6","[{""loss_fns"":[{""name"":""quantile_loss"",""weight"":""1.0"",""quantiles"":[""0.1587"",""0.8413""]}],""output_dim"":""6"",""output_step"":""1"",""linear_output"":""True"",""name"":""regression"",""metrics"":[""q_loss_mse"",""q_loss_l1""]}]","","","","","","","","","False","False","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/05-23-13/298b","","","","","0.12114457041025162","0.03210132569074631","0.12028542160987854","0.03287598490715027"
"linoss_encoder/s4d/sho","2766","4","64","0.005","6","[{""metrics"":[""q_loss_mse"",""q_loss_l1""],""loss_fns"":[{""name"":""quantile_loss"",""weight"":""1.0"",""quantiles"":[""0.1587"",""0.8413""]}],""output_dim"":""6"",""output_step"":""1"",""linear_output"":""True"",""name"":""regression""}]","","","","","","","","","False","False","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/05-16-15/09ec","","","","","0.04440492391586304","0.004032788332551718","0.0436277836561203","0.0040196641348302364"
"linoss_encoder/s5/sho","3918","4","64","0.005","6","[{""loss_fns"":[{""quantiles"":[""0.1587"",""0.8413""],""name"":""quantile_loss"",""weight"":""1.0""}],""output_dim"":""6"",""output_step"":""1"",""linear_output"":""True"",""name"":""regression"",""metrics"":[""q_loss_mse"",""q_loss_l1""]}]","","","","","","","","","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/05-14-14/4e7f","","","","","0.03707480803132057","0.003090768354013562","0.03830818459391594","0.003426898270845413"
"linoss_encoder/s5/sine_gaussian","3918","4","64","0.005","6","[{""name"":""regression"",""metrics"":[""q_loss_mse"",""q_loss_l1""],""loss_fns"":[{""name"":""quantile_loss"",""weight"":""1.0"",""quantiles"":[""0.1587"",""0.8413""]}],""output_dim"":""6"",""output_step"":""1"",""linear_output"":""True""}]","","","","","","","","","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/05-14-11/e9bd","","","","","0.0883403792977333","0.02073611132800579","0.0920705795288086","0.022158654406666756"
"linoss_encoder/linoss/sine_gaussian","7374","4","64","0.005","6","[{""name"":""regression"",""metrics"":[""q_loss_mse"",""q_loss_l1""],""loss_fns"":[{""name"":""quantile_loss"",""weight"":""1.0"",""quantiles"":[""0.1587"",""0.8413""]}],""output_dim"":""6"",""output_step"":""1"",""linear_output"":""True""}]","","","","","","","","","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/05-07-14/aa87","","","","","0.09097408503293992","0.020633937790989876","0.09427087754011154","0.022280830889940265"
"linoss_encoder/linoss/sho","7374","4","64","0.005","6","[{""linear_output"":""True"",""name"":""regression"",""metrics"":[""q_loss_mse"",""q_loss_l1""],""loss_fns"":[{""name"":""quantile_loss"",""weight"":""1.0"",""quantiles"":[""0.1587"",""0.8413""]}],""output_dim"":""6"",""output_step"":""1""}]","","","","","","","","","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/04-49-14/1391","","","","","0.04439980536699295","0.0044643511064350605","0.04286039248108864","0.0039780777879059315"
"linoss_encoder/lru/sine_gaussian","7374","4","64","0.005","6","[{""metrics"":[""q_loss_mse"",""q_loss_l1""],""loss_fns"":[{""name"":""quantile_loss"",""weight"":""1.0"",""quantiles"":[""0.1587"",""0.8413""]}],""output_dim"":""6"",""output_step"":""1"",""linear_output"":""True"",""name"":""regression""}]","","","","","","","","","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/04-33-13/ddc0","","","","","0.09465709328651428","0.022745033726096153","0.09817279875278472","0.023029541596770287"
"linoss_encoder/lru/sho","7374","4","64","0.005","6","[{""output_dim"":""6"",""output_step"":""1"",""linear_output"":""True"",""name"":""regression"",""metrics"":[""q_loss_mse"",""q_loss_l1""],""loss_fns"":[{""name"":""quantile_loss"",""weight"":""1.0"",""quantiles"":[""0.1587"",""0.8413""]}]}]","","","","","","","","","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/04-29-14/f33c","","","","","0.04163992404937744","0.003907933831214905","0.044670794159173965","0.004285728558897972"
"linoss_encoder/s4d/sine_gaussian","2752","4","64","0.005","6","[{""loss_fns"":[{""name"":""gaussian_nll"",""weight"":""1.0""}],""output_dim"":""4"",""output_step"":""1"",""linear_output"":""True"",""name"":""regression"",""metrics"":[""gll_mse"",""param_1_l1_diff"",""param_2_l1_diff"",""param_3_magnitude"",""param_4_magnitude""]}]","0.01537083461880684","0.2135758101940155","0.00045474572107195854","0.06454431265592575","0.013870860449969769","0.20187680423259735","0.00032840727362781763","0.06668338179588318","False","False","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/04-19-22/a793","","","","","","","",""
"linoss_encoder/s4d/sho","2752","4","64","0.005","6","[{""loss_fns"":[{""name"":""gaussian_nll"",""weight"":""1.0""}],""output_dim"":""4"",""output_step"":""1"",""linear_output"":""True"",""name"":""regression"",""metrics"":[""gll_mse"",""param_1_l1_diff"",""param_2_l1_diff"",""param_3_magnitude"",""param_4_magnitude""]}]","0.04147132486104965","0.03652394935488701","0.0043130433186888695","0.0028548208065330982","0.04237327724695206","0.03840500488877296","0.004133090376853943","0.0027918831910938025","False","False","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/04-15-21/2c68","","","","","","","",""
"linoss_encoder/s5/sine_gaussian","3904","4","64","0.005","6","[{""name"":""regression"",""metrics"":[""gll_mse"",""param_1_l1_diff"",""param_2_l1_diff"",""param_3_magnitude"",""param_4_magnitude""],""loss_fns"":[{""name"":""gaussian_nll"",""weight"":""1.0""}],""output_dim"":""4"",""output_step"":""1"",""linear_output"":""True""}]","0.010286507196724417","0.15715304017066956","0.0002205587225034833","0.042106229811906815","0.009895874187350271","0.15388384461402893","0.00019675448129419235","0.040457770228385925","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/03-48-21/8092","","","","","","","",""
"linoss_encoder/s5/sho","3904","4","64","0.005","6","[{""loss_fns"":[{""name"":""gaussian_nll"",""weight"":""1.0""}],""output_dim"":""4"",""output_step"":""1"",""linear_output"":""True"",""name"":""regression"",""metrics"":[""gll_mse"",""param_1_l1_diff"",""param_2_l1_diff"",""param_3_magnitude"",""param_4_magnitude""]}]","0.03621003776788711","0.03506453335285187","0.003834197763353586","0.0025546313263475895","0.03943047672510147","0.03586753085255623","0.00362563063390553","0.002310263691470027","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/03-46-22/56bc","","","","","","","",""
"linoss_encoder/linoss/sine_gaussian","7360","4","64","0.005","6","[{""output_step"":""1"",""linear_output"":""True"",""name"":""regression"",""metrics"":[""gll_mse"",""param_1_l1_diff"",""param_2_l1_diff"",""param_3_magnitude"",""param_4_magnitude""],""loss_fns"":[{""name"":""gaussian_nll"",""weight"":""1.0""}],""output_dim"":""4""}]","0.01280990056693554","0.158033549785614","0.00034206220880150795","0.042369402945041656","0.011808223091065884","0.16255278885364532","0.00024164424394257367","0.041684068739414215","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/03-45-22/1cd2","","","","","","","",""
"linoss_encoder/linoss/sho","7360","4","64","0.005","6","[{""metrics"":[""gll_mse"",""param_1_l1_diff"",""param_2_l1_diff"",""param_3_magnitude"",""param_4_magnitude""],""loss_fns"":[{""name"":""gaussian_nll"",""weight"":""1.0""}],""output_dim"":""4"",""output_step"":""1"",""linear_output"":""True"",""name"":""regression""}]","0.03784068673849106","0.0405157171189785","0.00396902859210968","0.0032733851112425327","0.04011291638016701","0.03887604549527168","0.004215245135128498","0.003152123419567942","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/03-43-21/7b7e","","","","","","","",""
"linoss_encoder/lru/sine_gaussian","7360","4","64","0.005","6","[{""name"":""regression"",""metrics"":[""gll_mse"",""param_1_l1_diff"",""param_2_l1_diff"",""param_3_magnitude"",""param_4_magnitude""],""loss_fns"":[{""name"":""gaussian_nll"",""weight"":""1.0""}],""output_dim"":""4"",""output_step"":""1"",""linear_output"":""True""}]","0.020466407760977745","0.19350995123386383","0.0017081702826544642","0.052847228944301605","0.020155733451247215","0.1721612960100174","0.0011884324485436082","0.04996894672513008","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/03-42-22/b5d1","","","","","","","",""
"linoss_encoder/lru/sho","7360","4","64","0.005","6","[{""loss_fns"":[{""name"":""gaussian_nll"",""weight"":""1.0""}],""output_dim"":""4"",""output_step"":""1"",""linear_output"":""True"",""name"":""regression"",""metrics"":[""gll_mse"",""param_1_l1_diff"",""param_2_l1_diff"",""param_3_magnitude"",""param_4_magnitude""]}]","0.043236300349235535","0.03713524714112282","0.004833340644836426","0.003463685279712081","0.04172705113887787","0.04097595438361168","0.0045622168108820915","0.003768048482015729","False","","/lustre/home/barmstrong/ligoss/outputs/singlerun/2025-08-30/03-41-18/9695","0.04062337800860405","0.04060163348913193","0.004402319900691509","0.003643056144937873","","","",""
